 	se	vieni	alle	sette	ancora	non	è	pronto	</S>
a	0.68379449464	0.13555767137	0.050688198806	0.00472342502	0.008775184891	0.00117205093387	0.00219321708679	0.00279733323646	0.110298447669
n	0.392237187767	0.20440330539	0.201268653566	0.0337011158667	0.051484386497	0.0023161654548	0.00239989713346	0.00463278136552	0.107556496076
è	0.159173240494	0.260508461863	0.378720453355	0.0617046206089	0.0635901557523	0.00387329358227	0.00347126011809	0.00548308803717	0.0634753746824
r	0.08943980693	0.270334592821	0.460865952618	0.0672135650963	0.0264714271914	0.00460373214891	0.007305321283	0.00452769545752	0.0692378711291
t	0.0587424039687	0.230102612407	0.431340044739	0.110746323405	0.0170516124138	0.0155741422998	0.0171544076717	0.0183603953628	0.100928068067
i	0.0359376391836	0.192674111136	0.469473150113	0.151016867868	0.0151279567673	0.0178294787579	0.0157969964912	0.0219830686094	0.0801608195566
s	0.0146774440412	0.132110323512	0.553976894704	0.195583701756	0.0192341331358	0.0145329830033	0.0117474871351	0.0110746148824	0.047062527074
e	0.0080395209788	0.0939204160907	0.523440571568	0.277925625052	0.0265961822053	0.0150560235784	0.0111485910364	0.00748444780544	0.0363887069326
s	0.0059704217678	0.0651430456969	0.480658037189	0.333418229684	0.0500552854684	0.0137903001081	0.0111959057768	0.00628745240312	0.0334813919425
i	0.00554050119097	0.047966537103	0.357095295863	0.401711809895	0.110241429223	0.0223219846254	0.0144845839196	0.00692658083497	0.0337113695048
t	0.00509349813856	0.0488609260477	0.260546290461	0.422113464632	0.164021178008	0.0248214830611	0.0227798792705	0.00965234435559	0.0421110016533
t	0.00540841336319	0.0595704349252	0.246484415927	0.401549161544	0.134849096249	0.0231619804704	0.0356144707922	0.0150847056652	0.0782773440498
à	0.00867179871973	0.0616445479351	0.195380166709	0.327507250248	0.19482204253	0.0302197644701	0.0537026754554	0.0366155881437	0.0914362428363
a	0.0075682544986	0.0336766062534	0.10624491925	0.176360591016	0.424980156843	0.0775657228234	0.0631585913985	0.0443646619456	0.0660806035994
n	0.00298003233054	0.0138541548845	0.060071377111	0.0969351533387	0.483348681281	0.101563866408	0.0920051522395	0.0577906750109	0.0914509393398
k	0.00485874899649	0.0128143866798	0.0531800070513	0.13238644198	0.307677942694	0.0727813423693	0.0942388062798	0.102420877784	0.219641424251
ò	0.010054487499	0.0182510358693	0.0393326938838	0.1351038227	0.213332669031	0.0888155536898	0.0939919613599	0.129859271441	0.271258497367
r	0.0140139403525	0.0198069363812	0.0281396988213	0.067063446898	0.28653396601	0.124246679363	0.12443185432	0.14184205348	0.193921447309
a	0.010659844322	0.0146920126264	0.0201540692326	0.0353507363003	0.26031199487	0.198677065388	0.184866918907	0.138496010027	0.136791405116
e	0.00403336238193	0.00688223328201	0.00988435813433	0.0167666800911	0.123460866223	0.307019283796	0.289827231636	0.138015770942	0.104110249365
n	0.00186591096981	0.00318347140151	0.00593681521344	0.00704824006263	0.0530845689877	0.254917981865	0.332601745212	0.238854095914	0.102507138382
è	0.00102364021301	0.00171217532037	0.00394774572048	0.00307149354648	0.0254197601306	0.113789832515	0.293754301271	0.454464258171	0.102816713721
p	0.00113574868289	0.00124214769155	0.00319552195234	0.00136999271979	0.0148309821782	0.050200202905	0.203802570957	0.65128791339	0.072934927807
r	0.00126498631014	0.00122016589513	0.00289972323536	0.00155614966622	0.0083460246234	0.0256919396443	0.104308510539	0.749710364463	0.105002227849
ò	0.000735040112879	0.00086910254582	0.00159537305799	0.00137954219899	0.0061636832604	0.0137409591701	0.041479115503	0.779235360821	0.154801887263
n	0.00357228420407	0.00165189959409	0.00314877595767	0.00147139372277	0.0064284712534	0.00904626606737	0.0319098783643	0.79328987694	0.149481188448
t	0.00457986158812	0.00204234782364	0.00369249334328	0.00212575727111	0.00392847219567	0.00631872114046	0.0269793524081	0.784537997647	0.165795048411
o	0.00179515795334	0.00336481290479	0.00234228186969	0.00242566212437	0.00184436685436	0.00427338936482	0.012650842348	0.595024353882	0.376279179706
</S>	0.00100768441586	0.00524331795867	0.00248807013647	0.00279280618219	0.00146679839108	0.00424194891941	0.008813051702	0.421357340941	0.552588999853
