 	ora	che	loro	non	vengono	più	</S>
à	0.950362192	0.013537052761	0.008500714828	0.0043316289724	0.001334541177	0.00316340623095	0.0187705376628
r	0.7717347176	0.12391105344	0.0334269996227	0.0114440474307	0.00831981717767	0.00326427201028	0.0478991505724
t	0.477003144467	0.27903280828	0.115218259861	0.0189809078634	0.0155288894279	0.0150033833654	0.0792326222978
e	0.261525795889	0.473282719427	0.16573267042	0.0168026879211	0.011279081966	0.017919774682	0.0534572424623
k	0.109915113343	0.598658753809	0.220726078807	0.0140672912004	0.00880058099533	0.0085079616342	0.0393241818832
a	0.0448186191083	0.539274871936	0.345299799602	0.0216161038268	0.00818253333644	0.00569801378673	0.0351100737657
c	0.0217263019281	0.445371083712	0.449638803867	0.0288308517289	0.00798939851015	0.00443999249758	0.0420035152694
ì	0.010847058094	0.299788094171	0.581862081956	0.042373229963	0.0138704393434	0.00510012874586	0.0461589160306
n	0.006507864042	0.188298833257	0.699799007319	0.0489219776277	0.0202128732745	0.00604560186195	0.0302138535702
i	0.00403855607027	0.127460535112	0.57064893644	0.233681288249	0.0329641972515	0.00631676145398	0.0248897034567
e	0.00196097259502	0.064182773344	0.31609937068	0.48139504275	0.0941328410838	0.00826643545133	0.0339625812656
n	0.00520807124434	0.0332231390227	0.174741260393	0.38602352625	0.262183245561	0.0544682721171	0.0841525390999
è	0.00678524565705	0.0204133652309	0.162949349621	0.208149409417	0.429685220254	0.0792403243057	0.0927770766246
r	0.00750928611845	0.0181427352023	0.17934454751	0.167331578272	0.506048652085	0.0604909057019	0.0611322741889
k	0.01741925053	0.0466399068481	0.160052177817	0.141823558924	0.429154038362	0.122244933967	0.0826661727303
o	0.0167008680355	0.0480755357656	0.104943799748	0.122392913608	0.318704755187	0.244467650322	0.144714481897
t	0.0105942162347	0.0241807358453	0.0439601488093	0.0887405763627	0.322325375796	0.311558548107	0.198640373611
t	0.00888819363782	0.0295111386996	0.0323596997211	0.0537291640476	0.275942451732	0.330542344036	0.269026983109
e	0.00382334919587	0.0255381432311	0.0224599231605	0.0322022048159	0.200303669942	0.454771677345	0.260900949696
p	0.00216979781307	0.0113808796201	0.0109573812952	0.0171997378786	0.159295471345	0.530471999782	0.268524614468
l	0.0015639587301	0.00852118268325	0.00934008775727	0.0105893573862	0.125893453262	0.524964650594	0.319127172108
è	0.0007937451988	0.00536778850028	0.0194377643178	0.0096343134054	0.111363392101	0.593954714865	0.259448184085
o	0.00070144059882	0.00245165296296	0.0214694745365	0.00959518376247	0.087404523187	0.641017992955	0.237359695562
</S>	0.00070354302351	0.00170408107398	0.0127917545721	0.00701212978724	0.0678990793235	0.649835531477	0.260053854781
