 	puoi	non	parlare	di	questo	con	Anna	</S>
i	0.87945582	0.0551697328403	0.01201123221	0.0075447118663	0.004452052828	0.00583672626567	0.00173078192689	0.0337990143529
s	0.839393564	0.0489442544668	0.032323239744	0.0205136553836	0.0200890181323	0.00467853308434	0.00492392951416	0.0291337829805
ò	0.80218901	0.0774269252289	0.037130800868	0.0225367601099	0.0252117396248	0.00227823626925	0.00590530977384	0.0273211430877
z	0.742226148	0.160488522476	0.0505576408227	0.011907209452	0.0147144263089	0.00125436871395	0.00298277969293	0.0158688642695
i	0.4556898846	0.339924448759	0.162431941674	0.0147728384907	0.0123123406763	0.00118555997172	0.00200272802594	0.0116802562964
m	0.171368245967	0.359803275186	0.370925012558	0.0408907280969	0.0248334600654	0.00622038038564	0.00833026065094	0.0176285935989
i	0.0722598269157	0.230980505129	0.562189228186	0.0641717774323	0.0306627874085	0.00837284129521	0.0107740129141	0.0205889980184
m	0.0332590660039	0.160854093776	0.664870996729	0.0787495168108	0.0266761387695	0.0059322885384	0.00940015899917	0.0202577967952
i	0.0168151755064	0.0819557350387	0.70225037091	0.128849787404	0.0327489051232	0.00698780982747	0.00941879983652	0.0209734730421
l	0.0127334212551	0.0501438845796	0.59794843097	0.201368058135	0.0531420981077	0.0130629720638	0.024549432529	0.0470517181594
ì	0.0113819857969	0.0358901802399	0.483331019657	0.261647747645	0.0943456160959	0.0208808899946	0.0315531287997	0.0609694536545
s	0.0137549095028	0.0295195892266	0.444627014552	0.309070484815	0.110576965359	0.0230832148182	0.0251685164232	0.0441992884315
i	0.0116152165706	0.0188655551729	0.296258493717	0.441071182938	0.137558142986	0.0398233364527	0.0211607919344	0.0336472084172
a	0.00428145065653	0.0072582668443	0.122745021819	0.507310880313	0.261220838195	0.0624574993509	0.0132933691841	0.0214326466324
t	0.00252603913498	0.0036364559581	0.053973529453	0.353664180504	0.434287387398	0.0850161941636	0.024501612874	0.0423946125235
s	0.00236160086599	0.0038025503747	0.0460479032577	0.186101651768	0.457379784613	0.0928220527945	0.0727964668247	0.138688019421
è	0.00315973467346	0.00631427266223	0.0524185327259	0.128146579389	0.443082779018	0.115362577712	0.0894827783282	0.162032802421
t	0.00476752877049	0.00765395596668	0.0419230004686	0.125622398196	0.492958200339	0.138637540257	0.0821486330961	0.10628881216
ù	0.00423583087085	0.00631771726116	0.0240262976829	0.106703172499	0.503336637446	0.165978909819	0.0836725611854	0.10572891858
o	0.00231302856913	0.00390382389534	0.012462460911	0.0629568411063	0.384575981349	0.356451752606	0.0787181405485	0.0986179764133
m	0.00237646343186	0.00419828612131	0.008324326499	0.0291326211021	0.264500724583	0.455809267535	0.121612499783	0.114045777386
e	0.00343183964382	0.00411498002002	0.00804018182527	0.0145421448367	0.188547308568	0.437090655978	0.209644905928	0.134587905284
t	0.00374658248632	0.00222951130934	0.00595568507169	0.00701461503757	0.0877563628493	0.376145835859	0.346910352643	0.170240938821
i	0.00305598803777	0.00153880151912	0.0047459949915	0.00389534514986	0.0461010586698	0.286558360353	0.442437536214	0.21166686038
n	0.00238712319122	0.00101245800192	0.0042377375735	0.00243957895815	0.0231518706899	0.230577444651	0.520362516071	0.215831260576
A	0.00232540629968	0.000765400547763	0.0030980306913	0.00397980740625	0.0417448026766	0.14356799787	0.61639937869	0.188119076441
n	0.00180910371431	0.000630042220101	0.00249711738213	0.00421820423475	0.0449900337975	0.0957416812767	0.708825174897	0.141288559814
n	0.00921421695166	0.00692188254996	0.00531246505068	0.00564253555092	0.0246280629378	0.0600919340922	0.735453010966	0.152735906411
a	0.0115908555609	0.00904967982798	0.00668694422463	0.00611471898051	0.0163881539259	0.0457963030907	0.582940142322	0.321433213677
</S>	0.00614892385975	0.00494683329098	0.00497468735391	0.00361031822556	0.00947397401295	0.0421687019353	0.466862609161	0.461813929839
