 	non	ti	dimentichiamo	mai	</S>
e	0.600043592	0.219950624964	0.0129569877944	0.0506105155848	0.116438318361
s	0.403571101313	0.359732030321	0.0901630935011	0.046571303918	0.0999624943787
e	0.227737723018	0.546104344107	0.124256769574	0.039130856118	0.0627703549776
a	0.115949902046	0.660826902036	0.162786181198	0.0173237586193	0.0431133359192
l	0.0444115202967	0.436709770012	0.449127852799	0.0241083026778	0.0456426552961
l	0.0224525222869	0.180209989471	0.628236654266	0.0706204056896	0.0984805492781
i	0.0151319952116	0.101526109224	0.521528065555	0.143214929349	0.218598988109
m	0.00914833358653	0.063808351208	0.561108889985	0.155509051511	0.210425366213
o	0.00853138310618	0.0513161915627	0.619384433328	0.163674008765	0.157093956541
n	0.00800883171339	0.0531607605409	0.523638993109	0.239168373968	0.176023047471
ù	0.00872403559646	0.0537806329736	0.374333672343	0.378318730569	0.184842942821
m	0.0178745629585	0.0517127786112	0.267754646288	0.47422849739	0.188429502274
e	0.0172795665628	0.0293401077045	0.192900514163	0.562828792997	0.197650979025
m	0.00698843249143	0.0123245818473	0.144739976065	0.607755065926	0.22819195403
à	0.00423516230436	0.00829103476523	0.12425879807	0.641105418902	0.222109609232
i	0.00275624250773	0.00548406883721	0.049195656625	0.618928968301	0.323635059944
</S>	0.00200873661576	0.00367030456511	0.0315044433585	0.51874099115	0.444075542972
