 	mia	mamma	e	mio	padre	non	andarono	mai	in	Grecia	</S>
i	0.762275254	0.1814956474	0.00955166241	0.007200780184	0.0043487851705	0.0018388355072	0.00355592500975	0.000836337722682	0.000632079347261	0.000658919244812	0.02760570242
m	0.551278466067	0.245263278467	0.0707201514967	0.0465620279507	0.0394594385918	0.00294344301547	0.00695106152175	0.000873984254046	0.00111025002827	0.0113044371536	0.0235334217047
à	0.338696280802	0.348450951489	0.160868931432	0.0584319198836	0.0524821780773	0.00293745129782	0.00697413534058	0.000876064054815	0.00113301674209	0.014906749822	0.014242288579
n	0.241079070314	0.526676870496	0.147600153411	0.0321214094679	0.0280946575504	0.00242754375861	0.00615210198553	0.00100980378427	0.0010080204387	0.00538985435756	0.00844044492607
a	0.151000570705	0.546989377499	0.215705714137	0.0464189538293	0.0220123002148	0.0025627279442	0.00563036460611	0.000946283928623	0.0008829874871	0.0020044920699	0.00584619205742
m	0.059248127291	0.366995364833	0.406342722712	0.0959713378631	0.0433009793583	0.00466224337073	0.00512355117897	0.00138595561154	0.0021755205959	0.0071757472827	0.00761843112914
u	0.0247045321763	0.192239838744	0.529689891571	0.157490321208	0.0623351288528	0.00614921886624	0.00514078775366	0.00196084841318	0.00289066295657	0.00894242855515	0.00845628887791
c	0.0116122802488	0.110640509888	0.54134446719	0.222814689483	0.0809223977509	0.00609673568075	0.00556312037389	0.00199795850973	0.00273933933012	0.00567325767336	0.010595205414
e	0.0068834858756	0.0583428006493	0.462323375063	0.302829325441	0.133800234717	0.00778724621892	0.00568419573063	0.00258944891024	0.00307665988857	0.00471263897871	0.011970562044
o	0.00278320535106	0.0334937244718	0.343638457421	0.38850734928	0.196103073239	0.0149889351463	0.00686592383621	0.00248882617975	0.00225360008979	0.00196930806897	0.00690755180573
c	0.00318728868941	0.0184290122973	0.247444893674	0.41281387836	0.265435263413	0.0169713493634	0.0156596639387	0.00177609164658	0.00225545325833	0.00155337782994	0.0144737075202
i	0.00327175231287	0.0120530459544	0.193735381025	0.37944430872	0.349345920471	0.0228609168558	0.0157210727176	0.00232122684619	0.00253211934711	0.00144411903931	0.0172701383006
ù	0.00287913789306	0.0133355057228	0.126423982914	0.333519848107	0.39278616549	0.0769093775586	0.0322167289439	0.00564934352473	0.0035332747847	0.0019661074689	0.0107804975675
r	0.00440871531888	0.0133718998549	0.0744582194147	0.288036133236	0.385052059163	0.10755861864	0.0724882098813	0.0111864575889	0.0163432756922	0.00305188389017	0.0240444533297
i	0.00368897654453	0.00738419315923	0.0414894969182	0.251961708979	0.319103705054	0.2054667681	0.0970062476938	0.021329769187	0.0225214580634	0.00241955859786	0.0276280179391
m	0.00476271980995	0.00594308714668	0.0240584675761	0.192962096093	0.324734628351	0.247958779205	0.127407613434	0.023339616111	0.0167118272731	0.00532813252469	0.0267929662904
u	0.00510920415491	0.00545794890236	0.01857141079	0.143766642338	0.32337473465	0.247856740906	0.165067780027	0.0344322241457	0.0171319758464	0.0071943575257	0.0320370096921
e	0.00219581098451	0.00233450488305	0.00953411030627	0.125732042231	0.189326219017	0.277280840969	0.284067913089	0.0566192819152	0.0223112255021	0.00563101911613	0.0249670775307
p	0.00344436485833	0.00314160236182	0.00570665887636	0.0967939059683	0.167291332406	0.177498686923	0.375042472963	0.0845400940651	0.0400281880474	0.0107470706678	0.0357656452569
ì	0.00379951210003	0.00390917222623	0.00441226679762	0.0579304548734	0.171421807135	0.105183773008	0.462666810788	0.0969386996484	0.0423433028558	0.0144317305809	0.0369625018976
t	0.00382862087925	0.00415413091921	0.00568132447471	0.0326421585285	0.113204882592	0.085653975836	0.540068288929	0.0954147271495	0.0459023708586	0.0199554537553	0.0534941029112
t	0.00461002894641	0.00376301898211	0.00645317733624	0.0163882756815	0.083267045744	0.0599699229653	0.426935403576	0.0881772819498	0.0501224004862	0.131791926388	0.128521567497
a	0.00313435753968	0.0016920952407	0.00483028966334	0.00806936916463	0.0513638769593	0.0923570898751	0.262913702592	0.174676229883	0.0845818616954	0.163848997243	0.152532179212
n	0.00381810186423	0.00173105820464	0.00437390060158	0.00639481145977	0.0297186390038	0.112452960758	0.229510606997	0.264038534461	0.121832850765	0.0991198766343	0.127008671711
e	0.00375800747957	0.00169115408339	0.00462517739861	0.00489090183875	0.0220052336826	0.100534790379	0.208631678266	0.280457987987	0.175255321522	0.0968468526514	0.10130287195
m	0.00714780446867	0.00731789175426	0.00594941832385	0.00700850817165	0.0197124376495	0.0862035897663	0.130289493555	0.258529644529	0.218298768307	0.15815842915	0.101384054007
à	0.00804721390575	0.00945220478012	0.00534838586622	0.00913108227042	0.0189520182032	0.0462681575621	0.163262144385	0.19558759111	0.228580220302	0.20112790005	0.114243159999
i	0.00304273540967	0.00362346207573	0.00380234042009	0.00619168810372	0.00955347260153	0.0448277317054	0.152900212902	0.177227823237	0.308070983434	0.168624842083	0.1221347272
s	0.00179460582633	0.0016687872488	0.00303837767096	0.00333260755819	0.00557537741241	0.0347334898693	0.0918339166273	0.123294680879	0.359937800078	0.213067360894	0.161722984913
i	0.00134784099319	0.000930963550823	0.00307424656915	0.00197695497394	0.0042411982829	0.0171633384653	0.0661479448691	0.0697800991597	0.356833762026	0.311341494631	0.167162122418
n	0.00100131108412	0.000522437351694	0.00305023409206	0.00131721875905	0.0033026254341	0.0109055350808	0.0449162196764	0.0489069850826	0.314515572342	0.403967806477	0.167593985435
G	0.00101285148294	0.000491149121156	0.00226126672024	0.000861791954506	0.00237920362087	0.00455727069735	0.0345607431655	0.0329185290902	0.207658959781	0.464183740559	0.24911442558
