 	non	sono	andati	</S>
e	0.615787287	0.12089436868	0.104955183426	0.158363080506
n	0.4253549224	0.33110502908	0.0990831368324	0.144456859289
è	0.1617313248	0.637423917693	0.102202953888	0.0986418016797
c	0.0702281829333	0.778196347898	0.09134436748	0.0602311038492
h	0.0422450947178	0.738557614633	0.148983935333	0.0702133498411
u	0.0256236666133	0.543372527478	0.280970356511	0.150033445152
n	0.0170038705051	0.276067425559	0.509567842437	0.197360863921
e	0.013169017089	0.11906429129	0.672848299479	0.194918431778
p	0.00693662400567	0.0499266496673	0.76431433916	0.178822417539
a	0.00482976369902	0.0206101366158	0.753586966387	0.220973085326
m	0.00275319602947	0.00938757724527	0.756245867462	0.231613271632
è	0.00196371043941	0.00747875326176	0.774193853821	0.216363630401
n	0.00308131149492	0.0116223703233	0.761842440607	0.223453884134
a	0.00316719333664	0.0106094795755	0.561735193402	0.424488140045
</S>	0.00178795241552	0.00555986453535	0.323111906501	0.669540239023
