 	lo	sentii	che	viene	</S>
t	0.921358483	0.023613263444	0.006861271512	0.00736134792545	0.0408057080264
o	0.843972075667	0.112129380795	0.0169014766733	0.00546202006515	0.0215351105975
n	0.584209948822	0.252242133198	0.0696136995071	0.0347010760664	0.0592331816842
ì	0.289860198541	0.446935267466	0.0940691713224	0.0708829281435	0.0982524764731
k	0.277115194747	0.522203137155	0.0620116270275	0.0581013581878	0.080568727531
u	0.276017511609	0.430849959052	0.124610821576	0.104697862896	0.0638238712703
s	0.12237843308	0.315931965351	0.352211038192	0.126926611161	0.0825519591491
a	0.0622041306373	0.163035708997	0.540802546464	0.132252018089	0.101705575915
n	0.0322380506979	0.0755268056323	0.597647271221	0.176172675992	0.118415212909
a	0.0218042517377	0.0382682688281	0.47588808314	0.29767092976	0.166368481274
r	0.0273237195834	0.0274054159734	0.326661086713	0.4068811786	0.211728655931
t	0.0329532330857	0.0217625637578	0.288694159304	0.400753528293	0.255836612344
i	0.0242917631386	0.0166553307093	0.198359568348	0.431760701511	0.328932695708
</S>	0.0159429810844	0.0161788296396	0.140976346844	0.450670544756	0.376231365854
