 	Marika	non	ha	mangiato	mai	un	rustico	</S>
e	0.933032476	0.0156543619875	0.0072505583007	0.00188103565276	0.00571323630187	0.00592485138933	0.0032136608475	0.02732990766
M	0.824706928867	0.0642953926195	0.041079265074	0.0106907716674	0.0070182374554	0.005554102591	0.0131782606011	0.0334770925507
à	0.701558423156	0.11100351698	0.0998413689913	0.0149509371451	0.00837958024553	0.00726171419293	0.0169569387658	0.0400475077829
r	0.641291435052	0.137659555727	0.143854107297	0.0163938723304	0.0113049050924	0.0179567809316	0.00777696511403	0.0237623567123
i	0.450936264331	0.286983811509	0.188114425166	0.0195096557101	0.0150264466935	0.0201824890672	0.00435861864161	0.0148882933827
k	0.270884385984	0.35428825317	0.292007381922	0.0294576984367	0.0119463942978	0.0116690840191	0.0107652271039	0.0189815974022
a	0.180490955192	0.326483565057	0.389575155974	0.0433888210122	0.0175957054493	0.00914094630803	0.0132675097001	0.0200574140434
e	0.112271882081	0.299787469019	0.434456589325	0.0979165847374	0.0260959380264	0.00851818255101	0.0075855230915	0.0133678980325
n	0.072119137987	0.183435915853	0.420516092442	0.215962563579	0.0304924357421	0.018374815597	0.0131043338098	0.0459947088228
è	0.0513545776778	0.102223128798	0.368949169481	0.30500135726	0.0616257844474	0.0288520868923	0.0131178890769	0.0688759408316
f	0.0325169133938	0.0711162839527	0.334417959827	0.36495784702	0.0827444357491	0.0310943360041	0.00910683429257	0.0740453582512
a	0.0156046859357	0.0429670047776	0.229205916309	0.369855994807	0.22058885525	0.041958080268	0.0136556743709	0.0661638815344
m	0.00925601077473	0.0251741334792	0.132994458116	0.329658111736	0.329598723317	0.0752033172893	0.0427494254036	0.0553659253951
è	0.00831734778688	0.0182651206264	0.0943687844653	0.327172002579	0.298402391339	0.12611001583	0.0491015560012	0.078262858002
n	0.0174156117506	0.0189923692675	0.0690351644684	0.304007696193	0.277755737113	0.191941569277	0.0321889375604	0.0886630108207
a	0.0192904363627	0.0178624634362	0.0468385301109	0.202617311018	0.301956540371	0.305420674426	0.0337398965468	0.0722742455602
m	0.00957177583283	0.00957118072113	0.0252522330631	0.115499129359	0.29455030789	0.377514571142	0.0908205798489	0.0772202569127
a	0.00679585415181	0.00679963416531	0.0177557017422	0.0775327535663	0.216243495997	0.439567669381	0.145953291283	0.0893516132302
i	0.00307895623252	0.00267149614252	0.00797463717533	0.0396863738608	0.147851419366	0.532276109794	0.199004263094	0.0674567422101
a	0.00156630402887	0.00132223557299	0.00486296894658	0.0198038429089	0.0792528027553	0.565137755265	0.285485792031	0.0425682686367
r	0.0093652424978	0.0014508327204	0.00431586725086	0.0134470931863	0.0433831297384	0.506364231088	0.34554145121	0.0761321229056
ù	0.0126895895346	0.00138235457247	0.00386517771049	0.00982541414877	0.0262821926928	0.425527183696	0.332528849903	0.187899166429
s	0.00689544856914	0.000868855473265	0.00316410083752	0.00878257338692	0.0236443362043	0.396359428899	0.333928655001	0.22635655841
t	0.00856716674356	0.00146716495826	0.00331253135233	0.011032465691	0.0319695851614	0.2861307925	0.372180350734	0.285339971877
i	0.0078179524067	0.00162868364004	0.0038517492542	0.0104539999448	0.0304683008803	0.135453956993	0.441411243578	0.368914128099
k	0.00593480492143	0.00373421163719	0.00574413935695	0.0082680925774	0.0158285399466	0.070737443091	0.503800663193	0.385952059066
o	0.00527195659823	0.00434943548302	0.00574222754624	0.00651696783293	0.00949243563153	0.044953750297	0.502963912731	0.420709242722
</S>	0.00308853718956	0.00241161686761	0.00422932734982	0.00469568941817	0.00845924512976	0.0293792993485	0.514768081866	0.432968133361
