 	ho	cosa	a	fare	</S>
è	0.612858976	0.244884968253	0.035890279534	0.0668202911915	0.039545400901
c	0.3978641284	0.361969722751	0.058536550194	0.0845054363589	0.097124078835
h	0.216577258733	0.51630214625	0.0829920325487	0.0685798389964	0.11554867035
o	0.146487973138	0.619308778083	0.12774606032	0.0376301120655	0.068827016346
t	0.0959418856393	0.605069212028	0.174570425107	0.0271271386818	0.0972912548507
i	0.0542015839911	0.401280524989	0.385789623369	0.0479598412739	0.110768355548
k	0.0271696111484	0.17344392811	0.535008534456	0.147988580471	0.116389310373
à	0.0155173240961	0.0752026310153	0.386395153285	0.339675865584	0.183209014714
i	0.00909830980263	0.0343165028598	0.211435673362	0.417286619861	0.327862942238
</S>	0.00676735539721	0.0219226109439	0.137920797381	0.388773453931	0.444615882119
