 	Marika	tu	hai	mangiato	</S>
M	0.897341868	0.05536811981	0.0214001979721	0.00680993550575	0.0190799457668
a	0.763513093333	0.163199628137	0.0236613280188	0.0160869959668	0.0335389990294
r	0.550771665578	0.267969462435	0.0720163209059	0.0381245810367	0.0711179710148
ì	0.454179610993	0.282837550468	0.152406813255	0.0377564748002	0.0728195248806
k	0.397394808331	0.312888375956	0.203317986952	0.0322760635021	0.0541228058709
a	0.242737393197	0.450092093985	0.227219599984	0.030365111354	0.049585876157
e	0.117284948711	0.469498451875	0.335330738661	0.019709290078	0.058176602219
s	0.0757106449023	0.281387071972	0.475499967554	0.0724697681593	0.094932536205
ù	0.0478683596314	0.163155938391	0.566484007851	0.13473412108	0.087757503007
è	0.0193888387778	0.113203712904	0.546045782817	0.267298674187	0.0540629557757
f	0.0075695409546	0.0553121280347	0.434555143739	0.454394130662	0.0481690601279
e	0.00334822882913	0.0252557676582	0.28516436838	0.507124605887	0.179107012512
</S>	0.00237852665296	0.0136004034591	0.16809103399	0.498911660944	0.317018368956
