 	venne	scritto	</S>
ì	0.920326399	0.0368539004625	0.042819770411
r	0.824659221	0.0938860186145	0.0814548295133
t	0.582869885467	0.223023332961	0.194106853992
e	0.410583921556	0.38291457632	0.206501560035
g	0.294380518339	0.506051408107	0.199568120681
r	0.185791271033	0.542904696702	0.271303998693
a	0.10535309417	0.589117006234	0.305529818294
m	0.043381591102	0.649972144745	0.306646282884
m	0.0451448652073	0.621399100915	0.333456108442
è	0.0540631926124	0.623813722972	0.322123100641
n	0.0480093964621	0.647328865657	0.30466172108
o	0.0352295279934	0.462997974552	0.501772447693
</S>	0.0186150518037	0.311931911276	0.669452946847
