 	lo	posso	finire	di	fare	</S>
t	0.783022871	0.155329181	0.00910918082	0.004924503978	0.008102779831	0.0395114561852
o	0.612239323667	0.3397295454	0.008000518448	0.0049643362	0.00311072607553	0.031955565788
s	0.369662059529	0.565254389333	0.00948816793067	0.0298407428753	0.00310469657544	0.0226499752375
ò	0.192265161143	0.737535305311	0.0100104801569	0.0376772866578	0.00447916826261	0.0180326100065
z	0.116863618974	0.776037790437	0.0304630446323	0.0368684546933	0.014003056898	0.025764043297
o	0.0985105017113	0.609800654679	0.194614296077	0.0521132953824	0.01605477427	0.0289064998343
s	0.0524962013438	0.446503575293	0.375958975359	0.0550726159275	0.0110621953662	0.0589064668634
p	0.0547525958213	0.317155947164	0.41419014912	0.0528009928425	0.0260585996553	0.135041739362
i	0.0479655073204	0.184891742888	0.532773870373	0.0768525734142	0.0354381938195	0.122078083312
c	0.0235695243535	0.0797940015093	0.678278601458	0.0863915915381	0.0431146803779	0.0888515640803
c	0.0367477889158	0.0712943960364	0.659284528486	0.048827432646	0.0554576142327	0.128388216404
è	0.0501355210406	0.0735245496788	0.593351480829	0.0651668653487	0.104474812082	0.113346751951
t	0.035700936232	0.0495635256996	0.598500884943	0.104613646783	0.147143764985	0.0644772111063
s	0.0195933150185	0.0354943796599	0.550196568314	0.117197305128	0.161744321741	0.115774041825
i	0.0120408922919	0.0206251074546	0.374590016411	0.299363679976	0.141677524957	0.151702755408
t	0.00825614197153	0.00976283491287	0.223506551764	0.450837275059	0.116500631632	0.191136591501
s	0.00717577245917	0.00819910383096	0.146231232275	0.35392560582	0.145688229119	0.338780097232
è	0.00475655612566	0.00692185661599	0.120292289158	0.262699732473	0.254178790902	0.351150771511
k	0.00473341523336	0.00878128803113	0.110733506686	0.283092801758	0.360550934401	0.23210802297
à	0.00512431727388	0.00873886077223	0.0779115508487	0.257200450359	0.475397301967	0.175627540123
m	0.00569795763555	0.0082895978896	0.0567553491029	0.20320869456	0.553636549702	0.172411848041
i	0.00703138228728	0.00811150092708	0.0408864412422	0.170282980333	0.449475458547	0.324212180014
</S>	0.00620031545593	0.00547933837366	0.0235101462329	0.125282266186	0.369329544274	0.470198329007
