 	vado	vestito	</S>
i	0.865427504	0.0446096395648	0.0899628791655
p	0.728225131563	0.157570416225	0.11420454496
à	0.659525454084	0.217528757335	0.122945879329
o	0.569112799561	0.307651820638	0.123235427736
n	0.264709670212	0.530225335813	0.205065045442
d	0.129514751149	0.598335407271	0.272149857123
i	0.0707118985697	0.589662334424	0.339625701819
m	0.0295063679766	0.665158398141	0.305335133775
è	0.0138029973789	0.707026070714	0.27917085676
n	0.0219694155536	0.704406611571	0.273623946253
o	0.0229237395972	0.54411151939	0.432964755418
</S>	0.0119536100766	0.342082312995	0.645964089709
