 	stava	ancora	cucinando	</S>
ì	0.928322689	0.003324806483	0.0185936739008	0.0497588678071
s	0.901390375	0.011000970323	0.0254823948415	0.0621263005921
t	0.861676523	0.0209239532543	0.0293652762198	0.0880342462384
i	0.767568339667	0.136622243858	0.0194820997239	0.0763273096255
g	0.540105142122	0.256407054286	0.125745825208	0.0777419843505
g	0.490394536274	0.196892855229	0.162178976103	0.15053364273
h	0.516362813425	0.12362156321	0.0870158967143	0.272999743631
e	0.313344949002	0.33400414307	0.0843392981381	0.268311640494
a	0.118197365677	0.551328810823	0.164906069433	0.165567783438
n	0.0444463560777	0.496940800214	0.287163774224	0.171449092109
k	0.0953180006612	0.364815685078	0.246593691505	0.29327264463
ò	0.179625130794	0.258048931626	0.136529426718	0.425796528973
r	0.160901150989	0.284930125609	0.225190446373	0.328978291658
a	0.120750092789	0.25292304815	0.453239513458	0.173087309419
m	0.0805615397509	0.169846214463	0.588645299153	0.160946845953
a	0.0717936336149	0.120862799954	0.596568876384	0.210774592598
r	0.0853712572627	0.0875311079447	0.565779788461	0.261317803013
è	0.0507310462053	0.0893926404642	0.580802633154	0.279073629151
o	0.0202132902254	0.0502510076487	0.621014398385	0.308521263717
n	0.0471313280847	0.0452392080762	0.546585401462	0.361044058072
t	0.0776376770148	0.0727873036687	0.483237241821	0.366337770151
a	0.0516726545557	0.0602112772789	0.42007854794	0.46803753601
</S>	0.0300331733712	0.0360343255914	0.33773091697	0.596201632005
