 	nella	pasta	vuole	sale	</S>
s	0.707005801	0.11075503415	0.012149044358	0.03129542218	0.138794694379
t	0.701250249	0.124272898183	0.0144382930047	0.0233108417333	0.136727732345
i	0.628079771667	0.227728682394	0.0244899932616	0.0185671973911	0.101134336104
p	0.368545075289	0.336967829065	0.0920585454472	0.0973238675904	0.105104577639
à	0.16072795627	0.447402190622	0.148885237082	0.127156156003	0.115828390179
s	0.0941479248927	0.521966830874	0.223434839761	0.068870028341	0.0915803504803
t	0.0642393415936	0.485750364958	0.244987658964	0.10492685448	0.100095739463
a	0.0339430335412	0.370717680719	0.365920607631	0.14722038126	0.0821982915763
t	0.0198186864384	0.16529935082	0.56555396921	0.132408319687	0.116919705893
è	0.0123868991954	0.0675698814133	0.646034546403	0.139116745896	0.134891948346
l	0.0109783938977	0.0354555422434	0.663756308801	0.196790787232	0.0930189260953
i	0.011758107602	0.0221237555147	0.455131880134	0.387632311744	0.123353886612
à	0.0057544670669	0.00842232854609	0.195733776591	0.674532168581	0.115557271377
l	0.00206570169877	0.0030616342692	0.078719640497	0.858021645527	0.0581314569523
a	0.00103030716066	0.00121840750457	0.0332682098323	0.665101433176	0.299381728304
</S>	0.000862888249273	0.000679307873585	0.0176915759861	0.423848529588	0.556917781152
