 	cosa	fa	Anna	il	sabato	mattina	</S>
t	0.7929144	0.1157896038	0.025612514798	0.0060283565059	0.0030443346491	0.0134561311922	0.0431547217333
i	0.605329944667	0.3129255486	0.027235235366	0.00553959921797	0.00195487198855	0.00726286998772	0.039752004333
k	0.318434280489	0.4922570242	0.120036517089	0.0122282649687	0.00330337455836	0.00640812999036	0.0473323822001
à	0.14069948149	0.633822704067	0.15463708723	0.0139966047449	0.00453091857879	0.00642591949505	0.0458872294808
n	0.0891191625033	0.730753109356	0.10317172241	0.00855053736697	0.0034045240836	0.00635145651262	0.0586495229269
n	0.104950523914	0.596332225119	0.157540024803	0.00954151929232	0.0154928170145	0.00718483050421	0.108958129207
i	0.088510053468	0.474552357706	0.285869902001	0.0249755018908	0.0210665831075	0.019791782861	0.0852339095763
e	0.0337143602192	0.322649372995	0.479642050667	0.0799869920636	0.0148283061852	0.023547549642	0.0456314571154
A	0.0127569323924	0.14424300168	0.578691198756	0.116889225021	0.0777197183284	0.03351302643	0.0361869888891
n	0.00691861748995	0.0704633096487	0.640763204119	0.0889656463403	0.0962939933028	0.0370379352153	0.0595573965637
n	0.0165508220076	0.0447857627829	0.671759666706	0.0930439611134	0.0506667778076	0.0287306999404	0.0944624188419
a	0.0188637574833	0.0289138179433	0.466445869902	0.337338975038	0.0538883902692	0.0280213007335	0.0665279771273
o	0.00690652134164	0.0128974704912	0.211988546534	0.608803392346	0.109871928523	0.0173567967518	0.0321753775558
s	0.00348613405513	0.00729555516747	0.115114146611	0.556940309449	0.179237468141	0.0468726480646	0.0910537212653
à	0.00241332613713	0.00557846982754	0.093167054957	0.351357650216	0.350490864714	0.0851925512215	0.111800030975
m	0.00208801719927	0.00401196921335	0.082900453299	0.226417540405	0.490538657105	0.113287235341	0.0807560888317
b	0.00739075648098	0.00807681024624	0.0983919529263	0.169533599868	0.432355147235	0.1641472785	0.120104458538
a	0.00882023836977	0.00895643524075	0.0761390392381	0.122341350356	0.351180827745	0.252072290087	0.180489843913
p	0.00480659819765	0.00516044729092	0.0317587551974	0.0924595108187	0.251984801715	0.365514093629	0.248315758047
o	0.00640418503704	0.00718942544491	0.0205001585967	0.0659333715396	0.156611894038	0.484206531876	0.259154348038
r	0.00657982212467	0.00761503090668	0.0157068113485	0.0368115402199	0.094231922966	0.535972983425	0.303081837877
n	0.00453679200659	0.00559836469667	0.0135052065168	0.0279218027866	0.0688576202487	0.499296995275	0.380283223961
ò	0.00336224757755	0.00550968748537	0.0141652564422	0.0258849046889	0.0699427647896	0.457282897758	0.423852318658
</S>	0.00197805857785	0.00520647657441	0.0117465788359	0.0184345087244	0.0654035344948	0.438991072879	0.458239887329
