 	volevo	trovare	un	forno	che	fa	un	rustico	buono	</S>
ì	0.927974929	0.01259692921	0.0104074629674	0.003709676412	0.00577036810458	0.0108085570605	0.0053232380057	0.00814013923548	0.00132590521212	0.0139428676942
s	0.849012931667	0.0902996971167	0.0157267725498	0.00602101088467	0.00321755330311	0.00669709665517	0.00387088748137	0.00338664054388	0.00111562006956	0.0206518344664
e	0.699120925889	0.231453149906	0.0271672100699	0.00804318952176	0.0031122670001	0.00606258415452	0.00340448613831	0.00181157356523	0.00081827639739	0.0190063084911
l	0.458583665696	0.373267535502	0.08075961519	0.0382667868275	0.00776907089443	0.010634173249	0.00501512631362	0.00355872839254	0.000951837623634	0.0211933783349
a	0.196155376032	0.547786198501	0.142037983063	0.0532006593158	0.0118843153781	0.0139080380783	0.00695724281787	0.00453534747951	0.00125470090434	0.0222800450457
n	0.0898453623973	0.606199666834	0.192202880688	0.0489260643453	0.0129634754794	0.0150099931081	0.00732543316596	0.00369415946184	0.00368825384491	0.0201446827824
a	0.0392396402191	0.612394684945	0.228926538429	0.0510735685818	0.0169572618531	0.0154025203187	0.00777553072999	0.00367977218495	0.0050712899033	0.0194791859485
v	0.0191725138634	0.549136960515	0.269131635343	0.0758139439939	0.0187948827044	0.0146346835722	0.008152274058	0.0181730238593	0.00607443142577	0.0209155985304
r	0.0285781315115	0.412104114372	0.274632655781	0.096853465598	0.0312615729015	0.0217125246941	0.0199077595727	0.0344998007931	0.0387732494953	0.0416766904671
ì	0.0419807232105	0.316462394124	0.351935146594	0.0957233163327	0.0354520414338	0.0225113242314	0.0229503647109	0.0246630137057	0.0468390890318	0.041482642825
k	0.0410121777195	0.244147342308	0.465022655131	0.101688448444	0.0203779411713	0.0179262490838	0.0150387718703	0.0179718247632	0.0176788862126	0.0591357843717
o	0.027082228556	0.167532998723	0.497278817977	0.145084452681	0.0524263404038	0.0167307268546	0.0110953298301	0.0155238841175	0.0083395470522	0.0589057485359
a	0.0093063025228	0.066963438761	0.474947019326	0.272212390227	0.116421203468	0.0182623429782	0.00713824717003	0.00819865720223	0.0052623971114	0.021288067098
f	0.0039657391136	0.0272656878737	0.312484073775	0.373909531409	0.146765364956	0.0288049580327	0.0112795439233	0.0115339496007	0.0257992551018	0.0581918967027
ù	0.00274301585153	0.0155829477179	0.203505573525	0.46874992247	0.123216928119	0.0416155472109	0.0149378019744	0.0109999734578	0.0326747674733	0.0859734487802
r	0.00237765088143	0.012397957746	0.160406589908	0.55046195949	0.1028685693	0.0495543038703	0.0120344512715	0.00639189012353	0.0158846266805	0.0876219646777
n	0.0070176346284	0.0164855458487	0.121610844103	0.514769540363	0.0884578104267	0.0700487228901	0.0273372100838	0.00801598836984	0.0134839836782	0.13277276777
o	0.00786809874693	0.0149355078429	0.086383936501	0.399799021988	0.173030650476	0.13871456963	0.0469180560279	0.0114105289719	0.0127547910987	0.10818490719
k	0.00364237094159	0.00712627948803	0.0404332343803	0.322829118663	0.292052800492	0.19232281521	0.0429718480426	0.0240036200906	0.0173178686002	0.0573001590884
a	0.00233167296822	0.00443823652028	0.0216618514468	0.242098907421	0.332327012831	0.247474972803	0.0549151537809	0.0297143863302	0.0222355465994	0.0428023483345
k	0.00180626070823	0.00380389295992	0.0116865130009	0.17730390694	0.300736122944	0.308923180801	0.077013619927	0.0369558436101	0.030968960346	0.0508017459633
a	0.00160088029369	0.00361081504487	0.00746386365897	0.13340271596	0.223100726981	0.3451944768	0.126636032109	0.0478903671034	0.0507138908082	0.0603862727862
n	0.00122458286859	0.00348541689688	0.00491589722912	0.0699294386533	0.164335152594	0.384269828267	0.17220567457	0.0584728108011	0.0643818549481	0.0767793953944
n	0.00288103074184	0.00489674117861	0.00592755925251	0.0526517748378	0.104480956265	0.358269036756	0.153905659123	0.073689847227	0.0775705726347	0.16572686865
i	0.00295092130543	0.00398167460607	0.0058947192275	0.0405351088926	0.0788034704883	0.315133458252	0.181335597841	0.081543873769	0.0881037963316	0.201717397069
