 	la	casa	la	costruiscono	i	muratori	</S>
t	0.848653281	0.11120986458	0.00738005558	0.0045688828605	0.0020396196344	0.0016854366571	0.024462772991
o	0.640122741667	0.327968079527	0.0101831531067	0.00421615947817	0.00200460613622	0.000949323856635	0.0145558537458
s	0.403590682222	0.534188771176	0.0358317080022	0.00866508076672	0.00458710200656	0.00126228201848	0.0118743249617
p	0.296898230141	0.540160898392	0.0906468955807	0.0195164891142	0.0136464503735	0.00523263300983	0.033898372656
ì	0.194355289047	0.619302417464	0.10382592024	0.0227619081407	0.0134851557918	0.00613032887728	0.0401389771998
t	0.135815955882	0.651697677155	0.119250645147	0.0270762551269	0.0153216919573	0.00500500768243	0.0458327638499
i	0.097713942694	0.518987984385	0.285424492382	0.0323888088023	0.0166895233258	0.00463233451014	0.0441628645406
t	0.0410983952513	0.362512119862	0.491425102794	0.0406052368674	0.0301920625953	0.00742275952805	0.0267443172586
o	0.0213269443458	0.201841135121	0.654978082931	0.0531096718225	0.0370154100784	0.00916447804468	0.0225643218473
f	0.0150562856501	0.109500719794	0.709196340977	0.0947265014742	0.0316882221261	0.0126244348482	0.0272075612038
a	0.0129368273804	0.0603404468047	0.670056032326	0.163326436358	0.0379897327087	0.0179138557427	0.0374367386293
b	0.00860753099737	0.0374978966282	0.577417195442	0.252800450786	0.0336895681696	0.0164185126676	0.0735688541718
b	0.0191212466254	0.0591774423494	0.418100608481	0.273815293862	0.0305571190765	0.0417499507292	0.157478296456
r	0.0467338916351	0.107873002116	0.299251222827	0.203442950621	0.0290442344455	0.0667755035631	0.246879169375
i	0.0441171937857	0.0898347698213	0.198863157209	0.34403836994	0.0387669732818	0.0608073695544	0.223572167045
k	0.0198327790052	0.0392228195904	0.125701777223	0.53846036998	0.0604720972273	0.0582297061848	0.15808044613
è	0.0111565315644	0.0216557098241	0.111791562828	0.573235165327	0.0812986490758	0.0588350899283	0.142027239891
o	0.00446486649775	0.00929839988381	0.0845001216293	0.549704547776	0.196881676959	0.0563712273094	0.098779074097
n	0.00389366484017	0.00671917127334	0.0354429768078	0.419833425259	0.353747222986	0.0902939091698	0.090069627275
e	0.00362812051009	0.00589427577401	0.0165535567239	0.276531002866	0.470610956329	0.140820888257	0.0859613161343
i	0.00153541111016	0.00338646487487	0.0082536311333	0.189193203335	0.55565950011	0.176627894286	0.0653439925781
f	0.00278816643958	0.00543147893629	0.00575246855977	0.125958546378	0.55608521737	0.228136664229	0.0758474924194
a	0.00329527000605	0.0057148281037	0.00377146107719	0.105068925689	0.42639877179	0.358406949743	0.0973438997665
b	0.00216046931033	0.00412974356857	0.00291847707606	0.091631274573	0.267011342597	0.483440229581	0.14870859417
b	0.00723924579397	0.004918594653	0.00401938938842	0.0795990920177	0.175666982266	0.46714746326	0.261409330442
r	0.0300632048769	0.00686973328033	0.00855599965947	0.0840519414526	0.138216907155	0.384923434153	0.347318795825
i	0.0334916066352	0.00711289521698	0.00875946006496	0.0787229078662	0.120072276558	0.434394534051	0.317446236148
k	0.0142113479387	0.00529779927389	0.00445632044927	0.0532172676311	0.0743972862127	0.621852026017	0.226567882212
a	0.00722983354372	0.00441763463753	0.00278391992824	0.0261048394831	0.0620784008109	0.670575356006	0.2268099671
t	0.00375210594671	0.00325414513938	0.00230557238601	0.0154708755314	0.065029488277	0.649990066002	0.2601977507
ò	0.00171717402875	0.00212886700584	0.00333315156138	0.00886873962113	0.0816347604123	0.667694513334	0.234622771967
r	0.00137568167548	0.00213025404039	0.00504256417522	0.00662100112171	0.0764059778508	0.665092267111	0.243332153789
i	0.00172553951125	0.00285794283899	0.00463048635199	0.00629975669324	0.0366542025303	0.53413214357	0.413699832596
</S>	0.00164623391958	0.00293255246719	0.00332731152239	0.00704989993262	0.0255725988652	0.394202401585	0.565268921298
