 	non	li	aspettiamo	più	</S>
e	0.496546044	0.308282450003	0.0081806442135	0.031303605141	0.155687203571
t	0.288591844133	0.478845628268	0.0487084192792	0.041280556401	0.142573578697
u	0.123885516644	0.669964770756	0.0738822943611	0.0438049507737	0.0884625075387
s	0.0626754338813	0.668272543185	0.11504362044	0.0386184123646	0.115390011027
m	0.0320807067071	0.495965872862	0.173004764565	0.0711492311215	0.227799453183
è	0.0582586530957	0.406470163821	0.225600161087	0.0907034214405	0.21896757868
n	0.0912139581119	0.392646653274	0.290096389696	0.0974718500802	0.12857110646
u	0.0634682050508	0.283412152065	0.355293244565	0.180072038693	0.117754351587
m	0.0294647748391	0.139067286195	0.326101915255	0.305016719564	0.200349315557
e	0.0178095103023	0.0793538304935	0.186722011352	0.499641789855	0.216472892147
p	0.0082181011187	0.0388743522556	0.097292020204	0.650080549285	0.205535027052
l	0.00611743919223	0.0353969821812	0.046229644348	0.650539922428	0.261716049683
è	0.00536457599561	0.0263956989951	0.0278954276693	0.672821550143	0.26752276789
o	0.00408738503707	0.0136247850994	0.0305580852764	0.698898605381	0.25283113263
</S>	0.00298231355203	0.0088905971493	0.0336905329782	0.69914880569	0.255287720315
