 	le	ragazze	vogliono	guardate	</S>
t	0.899988472	0.02784949833	0.01511981378	0.008477553821	0.0485646843533
a	0.831636272	0.106145335003	0.02678013826	0.00538122386171	0.0300570827678
k	0.628816735733	0.219038785734	0.0602685432867	0.0261475144853	0.0657284903833
o	0.427787921511	0.395812128645	0.0649113317889	0.0334236388791	0.0780650178598
r	0.31852172357	0.483344054548	0.077270676023	0.044392744481	0.0764708296999
à	0.20421805547	0.494646899183	0.123843825741	0.0599436065603	0.117347655367
s	0.146074349303	0.475695694661	0.209109769914	0.0443653065201	0.124754899589
i	0.10823906114	0.465639674487	0.294684207971	0.03361355394	0.0978235033697
a	0.0409253809993	0.381396343029	0.495936729324	0.02687297092	0.0548685883099
t	0.0184419325584	0.15932624931	0.672385373775	0.06505064226	0.08479582054
è	0.0107307706008	0.06785312657	0.741070740592	0.0790968349333	0.101248543123
l	0.0070726216816	0.03614161957	0.772239344197	0.0761547909444	0.108391649569
o	0.0066396297152	0.0205837707567	0.583887652732	0.271211061015	0.117677877364
n	0.00534804969025	0.0124187805569	0.377952166111	0.500400152338	0.103880848559
e	0.00664136716203	0.0084095979083	0.236513772304	0.636385552113	0.112049724257
k	0.0097727739571	0.0075911814681	0.118257669768	0.724037438038	0.140340981606
a	0.0106320183813	0.0071520862703	0.0603143376427	0.748691989346	0.173209671655
n	0.0187400161928	0.0059500884969	0.0362309568076	0.785167151782	0.153911870145
o	0.0195163903927	0.0043059840555	0.0215362157252	0.784223270594	0.170418127642
n	0.014746348293	0.00357708208583	0.0147705014824	0.783112352865	0.183793670747
i	0.0128599292166	0.00303674517081	0.0108861769541	0.738303864955	0.234913324449
m	0.00558686240687	0.00304867251314	0.00749236202403	0.682764174985	0.301107985763
m	0.00805957292166	0.00477635978571	0.00762532065534	0.617975444995	0.361563288382
è	0.0155619438993	0.00671289059177	0.00846095191178	0.487784241665	0.481479939109
n	0.0338210175143	0.0115159365365	0.0117654740273	0.417916638288	0.52498090117
a	0.0344550107426	0.013444495312	0.0139129276251	0.338279933163	0.599907581723
</S>	0.0206060860649	0.0108563318868	0.0117735364766	0.271759562581	0.685004432861
