 	Valeria	legge	il	giornale	</S>
e	0.902935551	0.06754321765	0.0063652762056	0.00940201319862	0.0137539070305
V	0.752194874333	0.123950133103	0.00889837549093	0.064096540234	0.0508600022855
a	0.593439172111	0.236280915568	0.016542636765	0.0846242696713	0.0691129580065
l	0.49399094737	0.317621677189	0.031378076283	0.0848031254104	0.0722061812422
è	0.407905358457	0.393898084396	0.0395214026143	0.0836643788903	0.0750108149074
r	0.373488592352	0.464227619465	0.0521678787914	0.0522692873636	0.0578465991825
i	0.231079296397	0.538469828622	0.112169744464	0.0610990760915	0.0571819968122
a	0.0825147847023	0.600013963807	0.226171846021	0.0551308616342	0.0361684866354
m	0.0426249404708	0.539057471049	0.249736354007	0.127707668505	0.0408735390651
e	0.0371690248849	0.443842463288	0.296083013336	0.175575925208	0.047329602535
l	0.0345498276319	0.351503218121	0.348189785112	0.198407510229	0.067349699045
e	0.028749730518	0.28786603357	0.354638155371	0.238966702663	0.089779436795
t	0.0176296104146	0.218612646813	0.37133245979	0.267981510141	0.124443856598
à	0.0121586092879	0.153443251098	0.367274351263	0.303659696714	0.163464143846
o	0.0075324892421	0.110696299299	0.431621427088	0.309000977571	0.141148824082
g	0.00892806146663	0.0656163234983	0.348919533296	0.41062188959	0.165914220907
i	0.0255268631425	0.0670445486824	0.223778232699	0.476055273397	0.207595084916
o	0.0268384508543	0.0620944845744	0.206674232966	0.483175748266	0.221217074039
r	0.0137593850622	0.0827158343661	0.149170692589	0.489005018755	0.265349075226
n	0.0181427375972	0.129366719637	0.089976758083	0.395832112918	0.366681714702
à	0.0164576311973	0.0934300325039	0.096267181961	0.424436936973	0.369408285714
l	0.00739135635228	0.0373022507822	0.0862578540603	0.563073750991	0.305974852571
e	0.00641536735358	0.029183223624	0.0423694614828	0.43147100403	0.49056094219
</S>	0.0068044880214	0.0330584109189	0.0313176941954	0.260116609565	0.668702724095
