 	viene	fabbricato	</S>
è	0.6445777547	0.216585897214	0.138836350025
r	0.540850096367	0.332798966774	0.126350951839
k	0.389340046236	0.419560535525	0.191099378185
e	0.314633130525	0.452378129108	0.23298866902
t	0.231307256242	0.519233444369	0.24945924007
e	0.143276623067	0.619067040123	0.2376563107
f	0.103731206669	0.683437986041	0.21283085733
a	0.0600224258163	0.64816748668	0.291810114673
b	0.0287227237121	0.61147180556	0.359805448874
b	0.0341206100907	0.509619001853	0.456260309835
r	0.0889450314436	0.406696032618	0.504358863505
i	0.0885267317432	0.416387767539	0.495085465168
k	0.0339522744364	0.52245984518	0.443587846256
à	0.0210376491055	0.65981495506	0.319147374619
t	0.0175784999792	0.666060496353	0.316360968206
o	0.0097286223124	0.448799949384	0.541471376735
</S>	0.0065008802692	0.271346920592	0.722152132367
