 	questa	la	costruirono	mastri	che	erano	i	muratori	</S>
t	0.864683436	0.06484209041	0.01384796252	0.0106744813806	0.0039872425111	0.007009287843	0.0023459547467	0.00317034374509	0.0294391971634
ù	0.917866952667	0.04778531299	0.007905359272	0.004949329502	0.0017063262794	0.00342845065633	0.00118202246934	0.00139905356894	0.0137771909663
o	0.717992858556	0.23965050591	0.0155453341493	0.0065735592634	0.00209073590037	0.00386368528678	0.00137804673612	0.00094979400106	0.0119554594085
o	0.345461420299	0.56909894397	0.0543035076231	0.0074613228398	0.00278155706772	0.0101850370389	0.00143815026761	0.000546332197527	0.0087237227077
f	0.125827918266	0.648980594657	0.149550633474	0.0106336869799	0.00423063018817	0.0215434440599	0.00334971669614	0.00218469717898	0.0336987037847
r	0.111458822342	0.558572276219	0.179536682625	0.0441708307233	0.00918162760299	0.0304909154188	0.0115674930984	0.00495034138113	0.0500710608314
a	0.107300369047	0.568085740073	0.187479095542	0.0567002537378	0.0109535932363	0.0266791870455	0.0127805427234	0.00409068744231	0.0259305733751
b	0.0450335970023	0.536715012024	0.301257180514	0.0430847669593	0.00786766279543	0.0167684918729	0.00648501969047	0.00225276211744	0.0405355308822
b	0.0625253254541	0.445200024008	0.300132734171	0.0954277171751	0.00967786747554	0.0151169456087	0.00607250416016	0.00965178339048	0.0561950897668
i	0.067161192778	0.376331295336	0.336951494057	0.138690777694	0.0139892576222	0.0164275930102	0.00575814827539	0.0122830198616	0.0324071842891
k	0.031787054057	0.271905903512	0.502990583352	0.117745806711	0.0129650664541	0.0177014308239	0.00549575741113	0.0106357005347	0.0287726835909
è	0.0175917171845	0.190136817837	0.613591771784	0.112462413537	0.010370409058	0.0146751347218	0.00478263545171	0.00957984597557	0.0268092627582
s	0.0139711157408	0.144063019612	0.613793318595	0.127361660512	0.0114955671927	0.0151509407073	0.0159489459179	0.00729808349919	0.0509173214374
s	0.0178042123184	0.105937865404	0.527587744198	0.119652032037	0.0186862349909	0.0199051611158	0.0314339984193	0.0647483420951	0.0942443747305
a	0.0118202388419	0.0577949921347	0.513970902066	0.188513400946	0.0325498181303	0.0216054744053	0.0241683257571	0.080626586877	0.0689502301195
n	0.00561658751301	0.0259218960116	0.506231399355	0.287043035382	0.0548428875101	0.0366187816642	0.0152991664164	0.0295737252797	0.0388525278853
o	0.00351419868389	0.0134958632872	0.413344829785	0.392822607794	0.0812732664367	0.0395776756305	0.0124456891788	0.0127634400532	0.0307624801512
m	0.00431566261136	0.00905932914507	0.323360235928	0.476112930598	0.0888053923456	0.028556954004	0.00963969208627	0.00708190337773	0.0530678982491
a	0.0043548719138	0.00734503235602	0.239848446576	0.513436224199	0.131280165915	0.0262910069952	0.00974107472876	0.00555623414591	0.062146916235
s	0.00435351806458	0.00507237726241	0.166171926059	0.4952391194	0.191575616905	0.0635671185651	0.0201838930629	0.0096718262553	0.0441645910263
t	0.0142700571894	0.0086144432362	0.149227185286	0.427874068467	0.179992607368	0.0782874471684	0.0381749223076	0.0390780832384	0.0644811916654
ò	0.0152909397926	0.00940069567987	0.110808071915	0.443714392822	0.175250051283	0.0867267214028	0.0386781849519	0.0536516572341	0.0664793130638
