 	il	vestito	della	sposa	deve	essere	bianco	</S>
o	0.75574228	0.10156860935	0.043535988988	0.083086430566	0.0041339616552	0.00138825988713	0.00185909842548	0.00868545688942
à	0.4452326203	0.19098640835	0.182775410309	0.139746845702	0.0111476446259	0.00632221831233	0.00737145995465	0.016417456295
b	0.167520891267	0.347918098383	0.321669497756	0.106060681343	0.0133263326633	0.00807402099638	0.0100961940891	0.0253343456816
b	0.112866924756	0.453130033461	0.332301154905	0.044676973023	0.0116541137411	0.00644019103479	0.0095536846447	0.0293770039568
e	0.141842143619	0.45572986182	0.294279913835	0.052576809041	0.012904315815	0.00659966359526	0.0109172118328	0.0251501564126
t	0.173687776226	0.485426117607	0.246767757012	0.054655485259	0.0118339120143	0.00703847735609	0.00787428081747	0.0127162588817
o	0.177440532969	0.382532197736	0.265129450231	0.141727508832	0.0134326365381	0.00724168224536	0.00536401087849	0.00713198223987
u	0.112588764092	0.182277537379	0.29089869397	0.357638890277	0.040111297106	0.00854765458179	0.0034796264515	0.00445747081379
k	0.07803363417	0.103880073126	0.29735519199	0.399444900226	0.055496534602	0.0194220819206	0.0245836207838	0.0217839277446
o	0.0658139891273	0.070490567246	0.318945765597	0.409463860875	0.050335682134	0.0233240229202	0.0332139814013	0.0284121357569
r	0.0541190467895	0.0639979760707	0.256522838192	0.419413474158	0.0947040317113	0.0518561335334	0.0279853323271	0.0314012199276
a	0.0508758824476	0.0630567556069	0.205549381157	0.426534844586	0.12798086477	0.0639344295778	0.0284874212024	0.0335804686892
s	0.0368490138026	0.0515389757896	0.162659252439	0.416337461795	0.170294851923	0.0816959218859	0.0331782890741	0.0474461743031
ì	0.0311306858442	0.0451240627899	0.122967746913	0.281294503865	0.272429964308	0.118417916429	0.056507283238	0.0721277099277
u	0.0110350738323	0.0185713646294	0.109095270298	0.181841614788	0.421328464769	0.149566704343	0.0578811041593	0.0506802575692
è	0.00394787082704	0.00760985335231	0.0563185858493	0.0949184817627	0.55556472359	0.217083394514	0.0422699645198	0.0222870279197
n	0.0186247721293	0.00809109230562	0.0298761435598	0.0513463759942	0.557007269197	0.244165043505	0.0552100674399	0.0356791953266
a	0.0243654590908	0.0154416234883	0.0166902863599	0.0376658383247	0.394499804266	0.381509518502	0.0829356729	0.0468917890189
n	0.0148491978398	0.0179025497923	0.0093737410713	0.0256626951816	0.212194736689	0.555244036167	0.104210690653	0.0605623788923
e	0.0118283907482	0.0147688275195	0.00690839083843	0.0145887551432	0.113027126296	0.599665644056	0.141050900218	0.0981620199768
à	0.00506259327066	0.00839110269492	0.00622936403989	0.00824789227133	0.0598256009787	0.487116928152	0.344574113739	0.0805524799723
s	0.00226937447116	0.00426212648099	0.00576572291757	0.00495182867938	0.0413194876396	0.293355086984	0.549141913246	0.0989344630974
p	0.00924532803102	0.00713733271972	0.00321391598572	0.00247148151979	0.0245879115445	0.172631368988	0.492901744615	0.287810877724
r	0.0339961448724	0.0145742000263	0.00730849242791	0.00403822725193	0.0214894312728	0.121332766389	0.384708614405	0.412552146777
o	0.0389736408236	0.0176749447894	0.00864819395158	0.00525361316932	0.0204053782883	0.103820200863	0.369962804135	0.435261245583
</S>	0.0264753934813	0.0162438242259	0.00510536134921	0.00399724909268	0.0124782406501	0.0822007092315	0.381583283068	0.471915932792
