 	i	bambini	piccoli	li	vestono	i	genitori	</S>
a	0.648542289	0.32902664825	0.007644649083	0.002039284566	0.00137985423319	0.000296885243489	0.000749602449438	0.0103206609846
p	0.430312641667	0.450306065057	0.0272167582877	0.037655699562	0.0244688220095	0.00669189512616	0.00503744454517	0.0183105666172
e	0.361416976163	0.478665515459	0.0404894801226	0.0507571145767	0.0325248451427	0.00896582226263	0.00650301303418	0.0206771857228
t	0.343241388095	0.51119746678	0.0536327435142	0.0374372065196	0.0193935990631	0.0119150090909	0.00796501799325	0.0152175411545
à	0.243587465113	0.55690156562	0.0903582443714	0.0365998934979	0.0156992417304	0.0140248609891	0.0103691944605	0.0324594688982
c	0.266456875686	0.517835533007	0.118513136284	0.0228322628193	0.0130478823035	0.00650911562237	0.00720271776617	0.0476024082441
i	0.264319434582	0.329585943536	0.265440734388	0.0598062100398	0.0234110055745	0.00796400773412	0.00547288747339	0.0439997671507
a	0.109471816478	0.190152988779	0.482091595463	0.136298519547	0.0319211645217	0.0164156363432	0.00435994596856	0.0292883625649
k	0.0498867328442	0.0910129157797	0.500479166888	0.188053814716	0.0570530196108	0.0232499624169	0.0177357282843	0.072528693913
è	0.0320420787661	0.0633649800599	0.456618456696	0.207694852372	0.0758378883369	0.0204267670543	0.0274412470508	0.116573768961
c	0.0251994667247	0.0627818873	0.458687521565	0.203216226057	0.0906344175123	0.0140091703468	0.0238962852163	0.121575051467
c	0.0651870821609	0.0671547064667	0.363968453455	0.163308709839	0.132516715704	0.0106964332423	0.0589713645954	0.138196507029
i	0.069205340348	0.0590047206642	0.253931450618	0.2566336683	0.156033214835	0.0236199151741	0.0663524094451	0.11521924381
a	0.0255241962709	0.0243431306835	0.157227206239	0.448393979367	0.166258295078	0.080381655798	0.0318515002284	0.0660200443033
a	0.00928700717911	0.0128323581304	0.0673626703263	0.492386906722	0.214766833159	0.146582786933	0.0236474246095	0.0331340260678
n	0.00646289564471	0.00810733861791	0.0359417317021	0.366562474774	0.318164070386	0.161623761444	0.0528691553298	0.0502685492159
d	0.0154464106133	0.00710589181094	0.026593352984	0.196811914525	0.341715298129	0.127156399348	0.126190745203	0.158979904365
ì	0.0165168209047	0.0105493294746	0.0220888896913	0.133599158442	0.380445699376	0.0949284411827	0.146041900268	0.195829711855
n	0.0136979576622	0.0120475345229	0.0187405125464	0.145861824894	0.481325373792	0.0763522761942	0.0989075579893	0.153066975065
n	0.0452425976751	0.0280439649704	0.0243967028915	0.114553504178	0.384753179064	0.0731875969981	0.11596975803	0.213852695668
u	0.0507613804989	0.0303993309492	0.0207370084415	0.0605126306593	0.231634180955	0.150660298799	0.198634360343	0.256660811223
n	0.022028054608	0.0128983824659	0.00957109100603	0.0343772849704	0.202289421452	0.250789770933	0.255639651048	0.212406318628
e	0.0107545742471	0.00672221642141	0.00561992095319	0.0179266462541	0.152667439484	0.345972808778	0.294421461683	0.165914894829
i	0.00417872729742	0.00326571894636	0.00294839101672	0.0105796172174	0.0788673659947	0.416404468726	0.354549403228	0.129206362543
g	0.00780313201516	0.00202349884126	0.00306175104505	0.00775698921713	0.0709042904316	0.411221976242	0.374206526409	0.123021955908
e	0.00905530499126	0.0013122936049	0.00234700577726	0.00576511364238	0.0593114959639	0.360447158727	0.42797699547	0.133784746496
n	0.0216689308553	0.00135595651304	0.00469953479183	0.00487554510446	0.0364184735146	0.255476069689	0.55215382849	0.123351688192
i	0.025816691081	0.00130337153966	0.005479559274	0.00444765725902	0.0272910061402	0.181915691003	0.609254089497	0.144491855424
t	0.0188835022932	0.00145740554159	0.0038118956086	0.00330140775861	0.0212345715787	0.145450051808	0.648723129832	0.157138017275
ò	0.0165074456284	0.00759907306564	0.00398754909265	0.00648806062527	0.0280071031949	0.096088976066	0.647503848611	0.193817989892
r	0.0117298176196	0.010102645994	0.0039182387542	0.00815850510709	0.0297152447103	0.077052968616	0.612527984204	0.246794644364
i	0.0103759614753	0.00477676143845	0.0032164901778	0.00511287583066	0.0205177384581	0.0561784632253	0.492852571401	0.406969249855
</S>	0.00572764084008	0.00249751842011	0.00186123172594	0.00330708147777	0.013392965291	0.0334685716966	0.3710801097	0.568665041928
