 	stava	ancora	cucinando	</S>
ì	0.965094065	0.026702157	0.00143899137	0.0067647995
s	0.978841288333	0.0164123620533	0.000543690305	0.00420273028
t	0.967121496111	0.00822312383777	0.00026366959	0.0243917782067
i	0.72650692537	0.238682365379	0.00051047945	0.0343002410689
g	0.666702668457	0.317800669126	0.000710545583333	0.0147860957163
g	0.851809822819	0.125375913709	0.000803110894444	0.0220111585988
h	0.604302503273	0.0595686722363	0.00130367553148	0.3348251672
e	0.220591213941	0.0881380417454	0.00639420267716	0.684876539067
a	0.0741595671637	0.267249617248	0.0211460268924	0.637444796356
n	0.0492882027212	0.263599141749	0.0255998819641	0.661512765452
k	0.329138235907	0.0941313694163	0.0187480583214	0.557982287151
ò	0.398437122522	0.172107512639	0.200282734107	0.229172577717
r	0.150310407061	0.39286778088	0.334956664702	0.121865139239
a	0.067632922687	0.56287797696	0.270501171567	0.098987928413
m	0.028371411229	0.443974085653	0.420896863856	0.106757614804
a	0.015186252305	0.192898937218	0.525762131285	0.266152658268
r	0.093781076997	0.087733355406	0.335394065095	0.483091499423
è	0.120001256382	0.0354740004687	0.455670396365	0.388854326474
o	0.0400398967973	0.0199361554896	0.625155785455	0.314868145491
n	0.303197796219	0.0113547972965	0.374120999485	0.311326438497
t	0.64887714874	0.0067296305655	0.142350883162	0.202042356166
a	0.474266195647	0.00458040764517	0.0660504973873	0.455102895389
</S>	0.237137841925	0.00241961950758	0.0498226346937	0.710619897694
