 	può	che	sono	ancora	svegli	</S>
i	0.738981435	0.02460456135	0.008762450965	0.102988498	0.01024840749	0.1144146956
s	0.902630245	0.00869294214	0.00304056097833	0.0358969688333	0.0103955400967	0.0393437797433
ò	0.858346361667	0.0672385795033	0.0448987456728	0.0125451835911	0.00377684547057	0.0131943134911
z	0.515709767556	0.394142273168	0.0768426342243	0.00758324901037	0.00129350782086	0.00442862214503
i	0.181670286185	0.659258277723	0.146871927075	0.00982454767012	0.000694870299287	0.00168012948634
k	0.0680225407283	0.678482912574	0.243079772358	0.00904633289004	0.000510642467429	0.00085778543878
a	0.0263689853428	0.509033454191	0.453590667453	0.01028177963	0.00022651000681	0.00049858816626
ì	0.0109857994809	0.241035991397	0.541324479151	0.179255431543	0.0228550376856	0.00454327268875
n	0.00531339242697	0.198291207132	0.505812216384	0.249044083848	0.0316536929619	0.00988539589625
e	0.00323369545566	0.157885576044	0.431720582128	0.386717621283	0.012397559754	0.00804492639875
a	0.00144118374522	0.0567723806813	0.229342932709	0.563069607094	0.110368161618	0.0390057055662
n	0.00672249119507	0.0226172009604	0.11793371807	0.344276278365	0.316233760539	0.192216550522
k	0.225554178398	0.0138530867201	0.139251517857	0.127345077455	0.279488285113	0.214507862507
ò	0.292317223613	0.0106069480234	0.147114676952	0.359557767818	0.105277476638	0.085125883169
r	0.0975926193577	0.00811154212447	0.073711307984	0.706714722606	0.0616132398793	0.0522565110563
a	0.0326736111446	0.00726981646616	0.046302118078	0.839276797535	0.0380064569598	0.0364711584854
a	0.0108949723783	0.00244604120905	0.0157908308427	0.670761212512	0.253894531653	0.0462123992951
t	0.0146673834375	0.00427885036535	0.00884909301423	0.288925492504	0.540332210551	0.142946944765
s	0.322122515813	0.00796080445512	0.0179345763381	0.102521989168	0.39767428545	0.151785762588
ù	0.413586837434	0.00575620365704	0.018130374246	0.221264056389	0.202260657083	0.139001818529
n	0.137993662928	0.00349935492435	0.00793732364867	0.26716487213	0.259081149028	0.32432362951
n	0.128464842596	0.00703199650812	0.0107482766496	0.149482657377	0.211292914343	0.492979319837
i	0.125189091796	0.00664190870831	0.0102887093109	0.156667069126	0.328874729448	0.372338509946
t	0.041815069823	0.024154884775	0.00858718286463	0.112252829709	0.374483130483	0.438706929982
i	0.0140208844357	0.0300213395383	0.00862124905488	0.0645935265697	0.152639085828	0.730103923327
</S>	0.00703317151985	0.0150547666891	0.00521765967744	0.0670377332848	0.104468540414	0.801188111664
