 	sono	vestita	</S>
ì	0.97994475	0.0110619078	0.0089933761
m	0.97978755	0.0116665211	0.00854597667043
e	0.937950293333	0.0336573778667	0.0283923425272
n	0.920859774444	0.0422472272889	0.0368929753091
d	0.886369044815	0.0491715054296	0.0644594195697
i	0.547681135438	0.0978237951432	0.354495039857
m	0.208523322313	0.387250101714	0.404226565952
è	0.0942606501043	0.438604686571	0.467134664651
n	0.338625882701	0.174354549857	0.487019566217
i	0.4209256648	0.098397905619	0.480676413406
</S>	0.21265013825	0.0728717588095	0.714478076703
