 	e	che	cucino	</S>
c	0.850501	0.024943017	0.11845864	0.0060973449
e	0.818742786667	0.0651631256667	0.102212837667	0.0138812469
p	0.585964898889	0.0847092285556	0.285335756889	0.0439900966333
u	0.275589054296	0.293675949519	0.347214952296	0.0835200222111
m	0.135766056099	0.344996230506	0.450424817432	0.0688129142704
a	0.0565126408997	0.167087790835	0.566728319144	0.209671294957
r	0.0537778658332	0.166075350278	0.293094923048	0.487051898319
è	0.0531093211111	0.144707691426	0.366025664349	0.436157342773
o	0.0184767126037	0.077367959142	0.42676817145	0.477387157591
</S>	0.00970969090185	0.039543640571	0.278794930725	0.671951728796
