 	che	non	li	aspetiamo	</S>
n	0.525872135	0.1265507885	0.104881158645	0.02773142222	0.2149644656
a	0.198213912	0.327955796167	0.206493472882	0.0322168184067	0.235120007533
m	0.082826972	0.466393032056	0.322505604294	0.0289199818022	0.0993544363777
i	0.0422589792667	0.427602794019	0.395423941431	0.0325953752674	0.102118923659
t	0.0235066600222	0.316654854673	0.411595540477	0.103327191756	0.144915747886
u	0.0164466421407	0.251106168224	0.493997140159	0.139666280585	0.0987837526287
s	0.0060635026469	0.180663611408	0.473926693386	0.252135330195	0.0872108275429
m	0.0065280976823	0.072717592136	0.259230615795	0.273598346732	0.387925319181
ì	0.0096619563941	0.068732318712	0.142496236598	0.100286905577	0.678822589727
n	0.319718218298	0.0724423952373	0.104796863533	0.039212598859	0.463829938442
o	0.419620610589	0.0438179470791	0.279460679178	0.0618225632863	0.195278208014
m	0.139979544303	0.0699965203597	0.415547749726	0.0979110710954	0.276565139338
e	0.046720734842	0.0701485235199	0.285083919909	0.122404493698	0.475642336446
</S>	0.0233655631075	0.0355591368599	0.236424079954	0.148969406849	0.555681803223
