 	non	sapeva	dove	a	stare	</S>
e	0.79174032	0.0981214315	0.0170803236	0.00108969265	0.01174372125	0.0802245035
n	0.518910380433	0.104595997167	0.0268158188667	0.00509318325	0.21710800225	0.127476620167
ì	0.175009820464	0.366185339056	0.0259146239556	0.00632815529667	0.285490322417	0.141071735022
s	0.0634089983747	0.718984463019	0.0641760913185	0.00798015097889	0.097698351009	0.0477519528407
s	0.0443164044582	0.762374591006	0.105509187106	0.0236950343263	0.032718615193	0.0313861438136
e	0.0335002412194	0.526807337002	0.353751819035	0.0376958777754	0.012805460551	0.0354392342712
r	0.0150985261398	0.443349632334	0.484689986345	0.0285462579251	0.006124733427	0.0221908677904
e	0.00922868971327	0.393723568945	0.465229722115	0.101302860308	0.015455745219	0.0150594212968
p	0.00388253428776	0.168867464482	0.585094520705	0.197008516769	0.0271413707397	0.0180055874323
u	0.00167572669592	0.0922393227607	0.461901730235	0.334882732256	0.0891650759132	0.0201354008108
n	0.00085615940864	0.0413894025202	0.312752733412	0.501776417419	0.115176351971	0.0280489002703
a	0.00054054826288	0.0242714682067	0.220787640471	0.54436743914	0.17501261399	0.0350202160901
s	0.000399743697627	0.0152270624356	0.13345190949	0.617176993047	0.201181468997	0.03256276703
t	0.0109677350092	0.0133170966785	0.116739603163	0.732313611016	0.0912041863323	0.0354577453433
a	0.0144649295554	0.00562600345017	0.0661499799343	0.563648337005	0.192353971111	0.157756772448
s	0.00483369672701	0.00205331725739	0.0221584852648	0.237207499668	0.544440747037	0.189306251149
ì	0.00572040923188	0.000862928193463	0.00765210282827	0.113966595556	0.543190781012	0.328607160716
</S>	0.00902355161594	0.000432590633231	0.00416179341414	0.103697890278	0.330697888506	0.551986255358
