 	è	che	sono	usciti	</S>
è	0.599885135	0.34724730606	0.0419925045955	0.002019855273	0.00885515125
n	0.434291331667	0.47790018202	0.0693982381985	0.00860034862433	0.00980986761667
a	0.313064382589	0.46579691734	0.193149764733	0.0130301878748	0.0149587554056
g	0.402203919563	0.352362789113	0.220147188244	0.00873980872493	0.0165463276685
u	0.431997296621	0.166613473038	0.320420122748	0.023982477675	0.0569866470895
ì	0.14691896864	0.0847921090127	0.434003264249	0.153388028558	0.180897642363
k	0.182896062547	0.0651787943376	0.35420169475	0.211207712853	0.186515747454
a	0.193664968049	0.0572877343309	0.29666434825	0.212326850951	0.240056099151
n	0.115875643216	0.020841454862	0.42158993275	0.19394007265	0.247752860384
e	0.0897897367053	0.00866363422567	0.43332275425	0.18048413655	0.287739684128
</S>	0.0454648518026	0.00434331522033	0.265366267125	0.239746418275	0.445079112064
