 	Marisa	e	Nico	ee	non	hanno	mangiato	mai	</S>
M	0.9490706	0.0153672198	0.00545171195	0.003401752025	0.00273328505	0.000644426765	0.004399670935	0.006442072225	0.0124892855
a	0.83020389	0.0373571154667	0.00654531335	0.0212535657583	0.07167604685	0.003951571465	0.00710123460167	0.003488575125	0.0184227241667
r	0.4637508578	0.0444372206756	0.00513577765	0.0287070333861	0.0953126872833	0.00513141958833	0.00824324380056	0.002820175775	0.346461617056
ì	0.1554592859	0.337302377412	0.00555946411667	0.017997658262	0.0339131083278	0.00249057769611	0.00325905103019	0.00140267107284	0.442615855819
s	0.05248221807	0.731454835804	0.0185816496056	0.0316627070873	0.0119834006659	0.0026247388987	0.00225713510673	0.00095159503879	0.148001772506
a	0.0185042462933	0.814095511935	0.0208054868019	0.0858823610291	0.0055258527453	0.0029626128329	0.00192806878224	0.000801302729697	0.049494575572
e	0.0096613594311	0.570706188978	0.297484138534	0.0878425610097	0.00564389044843	0.0063256035443	0.00150870340741	0.000565736103332	0.0202618538273
N	0.0057689592417	0.223014408659	0.439771316178	0.0350675576699	0.0593654674828	0.197853597515	0.0224644788025	0.00126555747778	0.0154287259424
ì	0.00436321674523	0.090264305553	0.225779665393	0.05599266589	0.242610302494	0.326330305838	0.0414927496008	0.00178089322593	0.0113859154475
c	0.00481381408174	0.0836213105177	0.212438191798	0.09847250863	0.297047590831	0.219215165279	0.0691339398669	0.00937614220864	0.0058813068825
h	0.00342765682725	0.0848811608392	0.179567985133	0.360659409543	0.153017127277	0.122266079093	0.067304864189	0.0118337233362	0.0170419375608
o	0.00213591634242	0.0429705491464	0.0605093391977	0.444788389848	0.159220226092	0.193731493698	0.0452843506297	0.00753079337873	0.0438289125203
e	0.00115050394747	0.0171445388488	0.0260596993526	0.187363142949	0.236268615364	0.410462897899	0.0614526585432	0.0131199301262	0.0469780221734
n	0.00773808228249	0.00917075588293	0.0239950597842	0.0838941183163	0.164263524788	0.515167085966	0.121100742848	0.0338804400421	0.0407901943911
è	0.00960384598183	0.00618593326098	0.0179553490614	0.0464489621054	0.0625736449293	0.525533048655	0.233380297616	0.0648969433474	0.0334220034637
c	0.00331096664828	0.00291177322033	0.0618622054871	0.0182653738351	0.134978761976	0.411721749552	0.249517219205	0.0904150944491	0.0270168841546
h	0.00122142654276	0.00196873220678	0.076895432929	0.0325762060784	0.165644652992	0.337350116517	0.199254826402	0.128940041483	0.0561485847182
u	0.000448174919587	0.00091103611226	0.026564503033	0.0359670622928	0.0908320619973	0.392313522172	0.216197455467	0.152504573828	0.0842616215727
n	0.000341386231862	0.00432373078075	0.010181333501	0.0159547203643	0.0568711504658	0.363415024057	0.322208565156	0.166442744609	0.0602613560242
f	0.00428579382395	0.00577783436025	0.00460675050367	0.0167474001214	0.0276646896219	0.270954114686	0.450371685052	0.17612009487	0.0434716628414
a	0.00542936172252	0.00227010257908	0.00155869085489	0.0134303729837	0.017668146884	0.212872598229	0.420154671684	0.208873364957	0.117742729614
m	0.0136247916887	0.00110691345203	0.0017468556353	0.00451897827643	0.032911075638	0.146137832076	0.296363747228	0.244673934986	0.258915906538
è	0.0164105882062	0.000718237744677	0.00180663789443	0.00154985735314	0.038345764346	0.063243534692	0.176279565743	0.394260728329	0.307385085513
n	0.00563333769207	0.00395488594223	0.00116686781414	0.00168541817338	0.013507640132	0.048188339564	0.124097805248	0.615607309443	0.186158386171
a	0.00198784214316	0.00504508204808	0.00105874010471	0.00173876274446	0.004745759184	0.071787793188	0.196949511749	0.591006366481	0.125680159724
m	0.00067162444752	0.00170244969769	0.00128283530157	0.00062576502482	0.009426322318	0.0800103277293	0.199911115583	0.43643254216	0.269937056575
a	0.000231494641303	0.00057581661423	0.00125517153719	0.000243940017973	0.0110062831393	0.106301469243	0.165114276861	0.384087664053	0.331183918858
i	7.7948900231e-05	0.00019550223741	0.00171446121573	8.29717608577e-05	0.00416913027977	0.133369433081	0.20366878562	0.405834621351	0.250887176286
</S>	4.00979426155e-05	0.000102520516705	0.00279324110787	4.31713331788e-05	0.00265845693988	0.12831129154	0.22700742281	0.416066845676	0.222976993143
