 	era	molto	stanco	</S>
ì	0.922632375	0.07137823985	0.00113159135	0.0048578403
o	0.644840968333	0.305398293283	0.0201125695833	0.0296482027667
n	0.549189049444	0.388444967761	0.0264823352611	0.0358836831556
e	0.503296688148	0.47342122592	0.010161428087	0.0131206612185
p	0.234340185716	0.749172491973	0.0109565092957	0.0055308041395
o	0.111318831572	0.866239280658	0.0160734320986	0.00636847317983
d	0.0551169708573	0.897998576886	0.0388320410329	0.00805239172661
d	0.0698092806191	0.831491575629	0.0569353173443	0.0417638002422
h	0.0635702980064	0.518811972443	0.0364822116481	0.381135513414
ì	0.0238474122021	0.182257072714	0.138778230749	0.655117287805
s	0.0109547758674	0.156115532238	0.410157616916	0.422772075935
t	0.00633275502247	0.150615418079	0.504605828972	0.338446011978
r	0.0232271976742	0.0854144600263	0.426267882991	0.465090480659
à	0.0311062265581	0.0549116934421	0.47238014433	0.44160192022
k	0.0153510533527	0.0251761185807	0.678478081443	0.280994728407
k	0.0226616686176	0.0162988081936	0.714698893814	0.246340647802
o	0.0254833743392	0.00846469369787	0.482997417938	0.483054525934
</S>	0.0140254858696	0.00428428129894	0.355115888969	0.626574342967
