 	la	donna	è	capace	pulire	deve	pulire	la	casa	ogni	giorno	</S>
e	0.5194115875	0.4578249105	0.0013906013	0.0041458789	0.001041070775	0.000732835525	0.002208932833	0.0012280192495	0.00023974649885	0.0048705530635	0.00018273729255	0.0067231305
j	0.4731892575	0.516788636833	0.0011615026	0.00166942394333	0.000434727438333	0.000253318567533	0.0007427465333	0.000416759400733	8.17192351833e-05	0.00162939153667	6.393469455e-05	0.00356864650787
i	0.4324207565	0.554580478944	0.00380290716667	0.00480920535778	0.00138904544278	0.000172588275044	0.000313275064733	0.000191944388144	3.05970424944e-05	0.000572362150057	2.54622635167e-05	0.00169142727716
n	0.1818412395	0.736966626315	0.0556362297222	0.0128801634526	0.00807004904759	0.000584385235015	0.000350838361578	0.000354086482715	0.0015355002086	0.000241179931352	6.26463245056e-05	0.00147705132572
è	0.0948260072567	0.790283085438	0.0891942299074	0.0120983342842	0.0091472189292	0.000640516394338	0.000300284638626	0.000356649503605	0.00203542022317	0.000102673027497	7.34498079133e-05	0.000942152610573
k	0.0489792131756	0.776153405146	0.133586256636	0.0204595458947	0.0171506275564	0.00200811651411	0.000402841077642	0.000142434832568	0.000691212730022	4.87400082123e-05	2.46288241126e-05	0.000353008503858
a	0.0337592082352	0.595077451715	0.310448328879	0.0353430719649	0.0215373069855	0.00276093007137	0.000508824722547	7.34673085227e-05	0.000243621013541	3.12926215708e-05	8.35541406983e-06	0.000208148189619
è	0.0114201759917	0.573869333905	0.33889167296	0.0625821693216	0.0107101931285	0.00165486379046	0.000414533747516	5.20846851742e-05	0.000114043296047	2.85411106903e-05	2.79861571791e-06	0.00025957360654
n	0.0043070165339	0.476056517968	0.248026550987	0.202786595107	0.0493570560428	0.0158255496302	0.00286573645917	0.000197083195058	0.000223088535349	4.99176735634e-05	9.92744778303e-07	0.000303883255513
e	0.00203618733797	0.222589600656	0.246849190329	0.422226975036	0.0780091693476	0.0224665550767	0.00431395091972	0.000304192141686	0.000247386379116	8.32847878545e-05	4.03911396101e-07	0.000873123351838
k	0.00665939313932	0.104728353552	0.26042110011	0.511144185012	0.0991435437825	0.0131627828922	0.00273878240657	0.000291065193895	0.000654092480372	8.76616146182e-05	1.9483162887e-06	0.000967083663946
a	0.00830759291311	0.0480934387173	0.199586066703	0.546201315004	0.178280107928	0.0141939046307	0.00334110446886	0.000510303444632	0.000803263786791	0.000113401633539	2.7468372629e-06	0.000566726834649
p	0.00433428450437	0.0193600297724	0.115716813901	0.548400298335	0.280877499309	0.0243483368769	0.00476523538962	0.000718401714877	0.000841518155597	0.000157596504513	2.4844355543e-06	0.00047747578155
à	0.00277984352012	0.0090831299458	0.070614723067	0.520063512778	0.290730203103	0.0829495876256	0.0192862622632	0.00244517000496	0.00133653225187	0.000335364108171	2.54058435143e-06	0.00037310567385
c	0.000945046280707	0.00391879167027	0.0277713039557	0.625097970926	0.196400303034	0.107516605875	0.0253595514211	0.00733803400165	0.00219162698396	0.00259384096939	0.000568712713817	0.00029818281795
e	0.000352157473569	0.00237773635676	0.0166360554852	0.722900156975	0.137829526345	0.0791298152917	0.0164771079737	0.00796969403388	0.00199379678465	0.0034203709398	0.000757858543272	0.0101557078893
n	0.00200346701586	0.00183254628559	0.0210354114951	0.691958752325	0.179103488782	0.0718771097639	0.0122491223579	0.00375386264463	0.00102618635155	0.00147371615327	0.000253542561024	0.0134327880431
a	0.00254150607662	0.00146245948853	0.019353355165	0.457372917442	0.433029129594	0.0597853579213	0.0171582903193	0.00280558248154	0.00080430138385	0.000941500707757	8.53272891413e-05	0.00466026111437
p	0.00298888386354	0.00164062292284	0.0175645173883	0.273278745814	0.598451023198	0.0755087993071	0.0233859177731	0.00319905556051	0.00117957942795	0.000990813469252	2.96894893804e-05	0.00178235757479
u	0.00313645086718	0.00169348499095	0.0167457971294	0.197112510271	0.664644501066	0.0803600791024	0.0289131392577	0.00396501112017	0.00135181192598	0.00123292402308	1.19877102601e-05	0.000832339798263
l	0.00479870336839	0.00179233741365	0.0161164160431	0.121677258424	0.724253500355	0.0893811690341	0.0339075487526	0.00458200944006	0.00154077029199	0.00142098354103	6.34579022003e-06	0.000523004876088
i	0.00535154228813	0.00182110747055	0.015813414881	0.0916149824747	0.735220500118	0.097468831678	0.0436092829175	0.00526171544669	0.00160316522066	0.00158406788034	5.74622554001e-06	0.000645657978696
z	0.0103299997614	0.00356283135618	0.0220216761603	0.0568427438249	0.732250113373	0.111912665893	0.0518210876392	0.0061152442489	0.00230992479689	0.00195594786011	7.92817784667e-06	0.000869853809565
z	0.29676865392	0.0118041131187	0.0307676727201	0.039697576365	0.478949576124	0.0985404089643	0.0335535636464	0.00430137564963	0.0031613958323	0.00162599142004	2.22605126156e-05	0.000807424086522
è	0.383718988989	0.0116062062443	0.0171192273406	0.015626104445	0.207137020375	0.249255786655	0.0876339123155	0.0181034021165	0.00290201237743	0.00198268017335	7.68850618719e-05	0.00483778419551
s	0.128161432612	0.00407400791947	0.0062576158808	0.021785198715	0.139957433458	0.474419095552	0.155690557439	0.0384958723722	0.00288254489248	0.0200863622911	0.000105552640624	0.00808434096517
s	0.148286602804	0.0134651019398	0.00537736596027	0.022118782905	0.174443307819	0.374350075184	0.152231665813	0.0361260067907	0.00658739986416	0.0455068867637	0.000261787350208	0.0212450335551
i	0.154751702649	0.0163914156633	0.00454384594109	0.008787657535	0.185708869273	0.314527235061	0.188005995271	0.0372873932636	0.00766838668805	0.0432418619212	0.000361925043403	0.0387237485184
è	0.0515873667298	0.00546475329544	0.0015273718717	0.0120989730783	0.173788316424	0.374442978354	0.222939118424	0.0571545127545	0.046136266296	0.0258082413071	0.000298440914468	0.0287536733728
n	0.0172142247274	0.00200352345615	0.0012925921609	0.0344222000261	0.198702592141	0.396257919451	0.192860772808	0.0634601355848	0.0650626310987	0.018073508769	0.000238128544823	0.0104117285743
a	0.00575707805523	0.00085097300705	0.0012483430103	0.0363582910087	0.256532664047	0.32889868315	0.231749267603	0.0674367131949	0.0388755520329	0.025951681923	0.000168097741608	0.00617260457477
p	0.00329625037984	0.00098108875735	0.00659974469343	0.0473183130029	0.346725071349	0.22467423105	0.239726429201	0.0660849363983	0.0312101566776	0.028621282641	0.000115725122536	0.00464671958159
u	0.00247653816451	0.00102723585278	0.00846903444114	0.0509638003343	0.366647023783	0.178166087017	0.2448930364	0.0773132061328	0.0224877975592	0.0400463828803	0.000133579789512	0.00737622045053
l	0.00631029452607	0.00192375535126	0.0177134020237	0.0353124227781	0.287204401261	0.168249629006	0.2823173488	0.0998156673776	0.0284823078531	0.0639006042934	0.000170361804837	0.00859979741684
i	0.00758928739002	0.00222633038175	0.0208902382079	0.030665010926	0.244750643754	0.155067421335	0.2990278096	0.117117125793	0.0310331717844	0.0804062714311	0.000256770619946	0.0109699400723
z	0.00790016101134	0.00194350885858	0.018368646936	0.023603962642	0.201633245918	0.136632782112	0.3284112932	0.134387871931	0.0300622684281	0.104949017144	0.000311842603315	0.0117954011574
z	0.227748443004	0.0157624860862	0.0323382196453	0.018686199914	0.131332359973	0.112538531704	0.2413984464	0.0948000003103	0.027369322976	0.0882055527147	0.000300314471105	0.0095201241858
è	0.295693381265	0.0191757315901	0.0258078430642	0.007016985588	0.0747045373243	0.0966239982347	0.2135856708	0.128065706437	0.026856607492	0.0474944025716	0.010175294307	0.0547998593953
s	0.0986168502117	0.0064290944594	0.00886237649053	0.00416979651267	0.0308916531081	0.131352899412	0.225763750267	0.185976372146	0.0298160828307	0.197263908857	0.0138010921357	0.0670561368984
s	0.109154206264	0.0137743518545	0.00581471545018	0.00399131283756	0.0216475723694	0.0960885231373	0.203756223422	0.131066264715	0.0190236486102	0.321696802952	0.00527118292857	0.0687151960661
i	0.112647260189	0.0161865239748	0.00454228759056	0.00228447169585	0.0165251395898	0.0558423310458	0.221756771141	0.132528968905	0.0149924008701	0.253899867651	0.00447084799286	0.164323132022
o	0.0375525813377	0.0053961224261	0.00153515662335	0.00137085801528	0.0073268922966	0.0397751850153	0.162554291714	0.148820709635	0.0911757559567	0.300380565884	0.035133091831	0.168978810674
s	0.0142886392866	0.00219162291987	0.00311751419378	0.0113690703051	0.0103692547322	0.0348528650051	0.106106035238	0.169187543212	0.195932665319	0.333985478628	0.044864128277	0.0737352052913
p	0.0333765720955	0.01757409034	0.0305476330646	0.0167724467684	0.0485051139107	0.0460501410017	0.200647058413	0.167167377737	0.161170761773	0.232057872876	0.017315698959	0.0288152304971
ì	0.0379836781072	0.0223093306777	0.0371048379985	0.00826188795613	0.0543588639802	0.0408752760006	0.235199202804	0.161177119246	0.103191691924	0.141997625625	0.069407164853	0.0881332838324
t	0.0126772310017	0.00744020336627	0.0124223562498	0.00312112838538	0.0187438963034	0.0260949156669	0.131475853268	0.154975078082	0.0759502986413	0.360316563208	0.0885873854843	0.108195030944
i	0.0042290073105	0.00248459556376	0.00422655702327	0.00223784749513	0.0101361830678	0.0190609272223	0.116771420089	0.125819921027	0.0433664428804	0.517680887736	0.0365486270281	0.117437516648
k	0.00141364413223	0.000833512217253	0.00152919669442	0.00218861379838	0.00761663345593	0.0168305180741	0.116819607696	0.128924830342	0.0413211002935	0.544717185912	0.0198616253427	0.117943468683
a	0.00047353898971	0.000283511705851	0.000643849894807	0.00214021293279	0.00580254758531	0.0140847985247	0.099118410232	0.135305646781	0.0458438017645	0.589347485304	0.0157617627809	0.0911944026943
m	0.000173305582803	0.000175699031717	0.000381167468269	0.0071388156776	0.00518704792844	0.0149483386749	0.0861644644107	0.19007586226	0.0767998429215	0.437606818435	0.0674046302603	0.113943977565
è	9.88506389343e-05	0.000138488424506	0.00024804145889	0.00801070707253	0.00249654933615	0.0135217895583	0.0498281334702	0.181188330753	0.11272686764	0.250281467145	0.173380726753	0.208080022522
r	6.28314816448e-05	4.85664833353e-05	0.00010793864243	0.00366360527084	0.00152392770538	0.00910376661943	0.0444732674901	0.144258563584	0.0921136585467	0.322592060048	0.173955617251	0.208096214507
i	2.66975885483e-05	1.97501548118e-05	0.00010464642081	0.00338196622361	0.00336016720179	0.00833418597314	0.0522110811634	0.128117314528	0.0601318898489	0.426692176683	0.0878165507503	0.229803585169
</S>	1.73098252741e-05	1.21081861059e-05	0.000118795950405	0.0035203527118	0.00510422460089	0.00853953498657	0.0606952305817	0.106131892264	0.0604515564244	0.345389973342	0.0570415553752	0.352977452584
