 	devo	comprare	il	pane	ogni	giorno	</S>
è	0.37530435	0.19290887348	0.0084699165	0.0859093703	0.219883346035	0.0839440395501	0.033580107
n	0.407187086667	0.282825657827	0.155973215833	0.0328908283	0.073900316435	0.0279868784595	0.0192359793333
a	0.221138054056	0.489658585942	0.226396476611	0.0153879257333	0.0257124908783	0.00933278931255	0.0123736155111
a	0.081880344852	0.567781675314	0.19516723687	0.0564073768778	0.0378032752928	0.00326814748757	0.0576919335704
f	0.0344229731173	0.296670816105	0.427807438957	0.109404098959	0.0418548689643	0.00139351720252	0.0884463045235
o	0.0120892332058	0.108580717368	0.705809529652	0.104055301653	0.0215357798548	0.00061832748084	0.0473111070078
r	0.0045040782486	0.244870393456	0.649842043217	0.064741682551	0.0144607601183	0.000215265249547	0.0213657675026
à	0.00164609635287	0.288881433985	0.355881423406	0.0945161641837	0.154013787206	0.00568025999912	0.0993808155009
s	0.00131215667429	0.117147944162	0.339175516802	0.198002321395	0.214017279735	0.00800988153304	0.122334898267
o	0.00116841164143	0.0598227221207	0.374120178934	0.344424923798	0.172447503912	0.00342337196101	0.0445929125223
t	0.000689736397143	0.0423432714402	0.322750672978	0.403006407933	0.198953924637	0.00182566690367	0.0304303385074
o	0.000512612481381	0.0365185704991	0.277353144326	0.397212469311	0.252099201546	0.00401299996789	0.0322910471691
t	0.00031571990946	0.0225325495187	0.155531956775	0.42009936977	0.349051387182	0.00498731032263	0.0474817690564
s	0.00883115226982	0.0180503889929	0.184409130925	0.436126279923	0.290242962394	0.00278169440754	0.0595584353521
o	0.0115348657921	0.00621430378075	0.162687615806	0.311292959731	0.148104054131	0.00432253776918	0.355843684117
m	0.00385020472057	0.0022920259767	0.054551100533	0.189462326334	0.129718991377	0.0391892009231	0.580936144706
ì	0.00133445850119	0.0009846396375	0.018534086241	0.151495746111	0.120409512459	0.112923693641	0.594317881569
p	0.000500094217397	0.000544431137767	0.00655562144367	0.083151286037	0.345068946153	0.105450801547	0.458728873856
à	0.000177827646799	0.000397579076342	0.00252988152249	0.0576700926457	0.415290906718	0.316222160849	0.207711564619
s	6.50153885997e-05	0.000192623455867	0.000945669038763	0.0384743981819	0.427109173573	0.41092222695	0.122290886873
s	2.94413830332e-05	0.000227572455289	0.00177008046959	0.0950028360606	0.577450771191	0.171440053983	0.154079257624
i	1.40030628144e-05	0.000179214278196	0.00194515320966	0.0949221991569	0.369791802064	0.184532742994	0.348614909208
n	1.27145229081e-05	0.000352909782499	0.000803887146353	0.0376623048556	0.446141445688	0.191449157998	0.323577599736
i	1.23865278827e-05	0.000411682935933	0.000443345285451	0.0188729703852	0.481107718563	0.206455402999	0.292696496579
m	4.25803136557e-06	0.000143432820411	0.000177733392484	0.00888465556173	0.285620076188	0.396125394333	0.30904445886
è	1.72553912799e-05	5.35235469703e-05	7.00746526947e-05	0.00520895413724	0.183545688096	0.577417934778	0.23368656962
r	2.23587378933e-05	5.90175291568e-05	0.000173117388765	0.00708305566241	0.192122905399	0.636844894926	0.163694637207
a	8.3684059311e-06	6.06018344023e-05	0.000208098133588	0.00769542548947	0.196347012366	0.431419278309	0.364261216402
</S>	4.39433321555e-06	3.05703942262e-05	0.000107036122794	0.00387257314773	0.100860952033	0.254159259154	0.640965228201
