 	vengono	vestiti	</S>
è	0.98897675	0.0078097355	0.00321349288
r	0.72994861	0.2664251895	0.00362622092667
k	0.51397913	0.408487373167	0.0775335211422
u	0.391774213333	0.465795471056	0.142430330381
t	0.161899957111	0.741102747019	0.096997316127
t	0.0636903314703	0.57128709834	0.365022581376
e	0.0219113130568	0.371485882113	0.606602803792
n	0.0080116381856	0.592990260704	0.398998112597
d	0.0978564237619	0.527997661901	0.374145938866
i	0.127532849171	0.238497658967	0.633969502955
m	0.0626036056403	0.234514799656	0.702881567652
è	0.0451461398801	0.294576336552	0.660277522551
n	0.09650392996	0.416330048851	0.487166047517
a	0.11065720332	0.369042568617	0.520300232506
</S>	0.05737412666	0.188558587809	0.754067281253
