 	entrò	da	qui	</S>
m	0.97901397	0.0204363768	0.00016508959925	0.000384581332
b	0.648196572033	0.0225463396	0.00463948166592	0.324617647991
ì	0.218126269611	0.0765206305333	0.0758898818886	0.629463235997
k	0.270610573437	0.225201940178	0.0961708652629	0.408016599299
e	0.295171600479	0.513322333393	0.0385920870543	0.152913936066
a	0.106501362483	0.479641641131	0.340377339685	0.0734796263553
p	0.0555228218177	0.174264707044	0.728628946562	0.0415835477851
ò	0.0386278511892	0.0684073453147	0.862797048854	0.0301677909284
t	0.0671529163131	0.0275405640716	0.887116149618	0.0181903706428
t	0.203611742104	0.0141760574239	0.620011249873	0.162200942548
u	0.195576781501	0.00521276488863	0.303975573291	0.495234894183
</S>	0.0985080119505	0.00262410096532	0.220496671646	0.678371247091
