 	non	sono	andati	</S>
e	0.913453565	0.0084320444	0.002810233235	0.0753041438
n	0.642917542333	0.0879577111333	0.0135572029017	0.2555675638
è	0.240247743444	0.425350880378	0.0180212950339	0.316380093833
c	0.315136989815	0.551370583459	0.0268924327446	0.106600013754
h	0.575763053272	0.350895114486	0.0297770915149	0.043564747828
u	0.574073127757	0.364177594829	0.0277682034383	0.0339810506093
n	0.322750231419	0.50820664161	0.134829852813	0.0342132572031
e	0.171401019306	0.517347440537	0.239016950938	0.0722345447344
p	0.120950951735	0.395868396846	0.398580880313	0.0845997389115
a	0.0910996192117	0.234168542282	0.538760056771	0.135971776971
m	0.0873087204039	0.106463671761	0.458533662257	0.347693935657
è	0.047849393468	0.050251645932	0.499655374086	0.402243588552
n	0.030303245156	0.0358877823223	0.709915511362	0.223893488517
a	0.0155025137187	0.0311425474508	0.605627927121	0.347727045172
</S>	0.0126493228594	0.0156913297404	0.401622648561	0.570036722586
