 	Marika	cerca	una	macchina	che	consuma	fa	poco	consumo	in	benzina	</S>
e	0.64651169	0.2408166125	0.00834091285	0.001510541355	0.000471757837	0.0081752517	0.008958810685	0.042789764435	0.020538781199	0.009912478845	0.0004027533922	0.01157069225
M	0.873138706667	0.0868078901667	0.00316015859667	0.000572767877667	0.000179039935667	0.00298360760667	0.00315838376833	0.0143487349483	0.006885041329	0.00343119415167	0.0001729947922	0.00516150813667
à	0.887390385556	0.0929553943889	0.00467378927889	0.000971019581889	0.000156523600556	0.00164632477556	0.00133260415611	0.0050931640961	0.002406484913	0.00128721083056	0.0001002563604	0.00198684014222
r	0.561409568652	0.212072371463	0.0957482194263	0.094361348794	0.0284122019569	0.00130894124185	0.00170731670204	0.00202561260537	0.000914106147667	0.00077737073352	4.56314441333e-05	0.00121732635741
i	0.187448692877	0.332866567154	0.253911436475	0.180432776265	0.0406361196523	0.000638537277283	0.00161619396935	0.000740419295957	0.000333314622879	0.000521924088173	2.25116419111e-05	0.00083151080147
k	0.0627170430357	0.325381259051	0.349411268825	0.212749448755	0.0461118405508	0.000378708185761	0.00202056715845	0.000316030909486	0.000139580121283	0.000337216279724	4.79597355037e-05	0.000389035542823
a	0.0211674031752	0.348089633017	0.367851176275	0.210553912918	0.0490497118503	0.000299930988587	0.00216303572682	0.000174840033362	7.50165131277e-05	0.000275646663341	5.64456163059e-05	0.000243221948274
j	0.138937364338	0.349986071006	0.345944532092	0.125208325973	0.0320420339501	0.00125915704286	0.00529827698294	0.000368568307987	0.000125434977076	0.00023361736788	7.10823279066e-05	0.000525531256758
u	0.199779474779	0.351115043669	0.329370610697	0.082018866991	0.0257471663167	0.00283040764762	0.00680952549431	0.000522883315996	0.000153812862359	0.000249763179293	7.64578450689e-05	0.00132596161892
r	0.088414268463	0.288971582556	0.365878736899	0.18861959233	0.0555998537722	0.00254510351587	0.0057203049981	0.000379953281999	0.000107536847453	0.000333251516431	0.00065017201079	0.00277962287297
è	0.0295461339733	0.214768155519	0.414970858966	0.260309820777	0.0700753362574	0.00123849055196	0.00495598852603	0.000273738210666	8.79842018177e-05	0.000357632102144	0.000841321645863	0.00257451557899
i	0.0101122641934	0.265810728506	0.367590072989	0.233518223592	0.0482031337525	0.018080506564	0.0117865480353	0.00795718196689	0.00603521011994	0.0231039299307	0.000326626937554	0.00747555481433
m	0.00521477098447	0.194882076169	0.380011747663	0.220150257864	0.0542403179175	0.0307993198547	0.0508815543451	0.0131369153223	0.00851729037331	0.0323636908436	0.000324278825851	0.00947776400478
i	0.0409472979948	0.116625968723	0.353667462554	0.189318229288	0.110264909306	0.0648443886182	0.0814847947817	0.0182409854408	0.00497085802444	0.0139870448145	0.00033437275195	0.00531365706826
a	0.0547192698316	0.069367796241	0.194512020851	0.184836419763	0.150451049769	0.132840826206	0.0916344815939	0.0397015818136	0.0113049752415	0.0382334352715	0.00322960172732	0.0291685456894
m	0.0381760551105	0.035112594747	0.151118633617	0.162371486588	0.102080547256	0.169451072069	0.173201247198	0.0540313139379	0.0149823854138	0.0564568267572	0.00460034957577	0.0384175268965
à	0.0292426908802	0.043120664249	0.234759034539	0.192853742196	0.105305506419	0.12136734269	0.169650085066	0.0422251773126	0.0109288331379	0.0320234489191	0.00218161525859	0.0163418694988
k	0.00982277994673	0.0513037494163	0.240203531513	0.366012480732	0.160275855473	0.0459950619967	0.070481547022	0.0260038657709	0.00923027371263	0.0132754495397	0.0012645102862	0.00613088594627
i	0.00338964655891	0.0331406604721	0.132328162171	0.368441400244	0.227656738491	0.0473407164322	0.066712121674	0.0852675225903	0.0180943085709	0.0129040987466	0.0010544050954	0.00367020512876
n	0.00182005821964	0.0208099261574	0.0898637157237	0.394011420081	0.247369909497	0.0462742536441	0.061164094558	0.100220245297	0.0186465174903	0.0127959203155	0.00401629956513	0.00300759080959
a	0.00125447018988	0.0139103780525	0.0681042502412	0.368794877694	0.211994959832	0.036665824048	0.0856163488527	0.137368926199	0.0443617437968	0.0237275178385	0.00526144468838	0.00293924096986
k	0.00105454017996	0.0114026150175	0.0514688534137	0.345052916898	0.218256603277	0.0339311589493	0.0963543479509	0.151286257733	0.0535726234323	0.0289940532795	0.00472639082946	0.00389966305662
a	0.00097520480132	0.00947714303917	0.0433795593046	0.327054650299	0.179352994426	0.0350082892498	0.101058254317	0.190524308244	0.0673041933108	0.0361460640932	0.00467629937649	0.00504303858554
k	0.00152607707511	0.0100374673797	0.0362337502682	0.251884161433	0.194967608142	0.0365715356499	0.112246839439	0.209526740081	0.0743715487703	0.0441259980311	0.0214579414588	0.00705030819518
