 	i	piccoli	i	bambini	non	possono	mangiare	il	gelato	prima	di	mangiare	prima	di	mangiare	</S>
a	0.8090322	0.0369115905	0.0334593275	0.00139585165	0.00354145335	7.7223215e-05	0.0044910983	0.02362937465	0.00110886684885	0.003104736995	0.02690019944	0.0059848496815	0.013151567565	0.008517509075	0.0008235529367	0.0278706175
k	0.556389525533	0.0517636981667	0.0636488498333	0.01635381715	0.05361431385	0.002012114725	0.0230409569667	0.0613336079833	0.00303330501552	0.0595960488617	0.01292177044	0.00883736801483	0.0383444752317	0.00411327904167	0.0240238330034	0.0209730481667
è	0.340983520711	0.187149510722	0.0712317379444	0.0243508303833	0.0693968881167	0.00380326614167	0.0294062544889	0.0738055012278	0.00371969889184	0.0784976454872	0.00822913352483	0.00978991987028	0.0467221848456	0.00261762130466	0.0317557207665	0.0185405763889
c	0.53167793357	0.227478177907	0.0647181206481	0.0148234121278	0.0364783135389	0.00415028861389	0.011760014163	0.0328840113093	0.00147764706061	0.0275751023624	0.00363581355311	0.00340933458876	0.0173055198502	0.00095981180232	0.0106300922809	0.0110364426003
c	0.664216844523	0.131543216969	0.094920010216	0.0111622077093	0.0351283151796	0.00312919774463	0.00674671355433	0.0230977007698	0.000686020468203	0.0106511423408	0.00215193856437	0.00128416699125	0.0075571350934	0.00041185444444	0.0035892127954	0.0037243384541
i	0.473858308174	0.329935665656	0.124124876739	0.0138711915698	0.0272865593932	0.00118234346488	0.00394034585144	0.0124384150899	0.000234204547634	0.00376960014693	0.00077388259279	0.00044706231875	0.00263755313447	0.000144402950547	0.0011986349904	0.00415693826803
a	0.190624150891	0.515192571885	0.179412412246	0.0478328151899	0.0396736907977	0.00348073349829	0.00593726095048	0.00897590619663	0.000264662236111	0.00189818189564	0.000325977795597	0.000181168599583	0.000971276358157	5.51833289157e-05	0.0004005983053	0.00477340642268
a	0.0683106109637	0.436165580628	0.316480517415	0.0909068770633	0.0518287969326	0.0079880631661	0.0115328443168	0.00992167839888	0.000718698912037	0.00261874956521	0.000272929798532	0.000106566516528	0.000549872729386	4.54073129719e-05	0.000134194659	0.00241862084089
r	0.0241877024879	0.262112203543	0.291571415805	0.157255742354	0.0420617889775	0.0628954910554	0.0289604407723	0.0204241007996	0.0185542922373	0.0832389527551	0.000354077719511	0.000894495855509	0.00358210796646	6.85935659906e-05	0.000329846185233	0.00350876131363
è	0.00817380629597	0.124287104514	0.147490098602	0.328620394118	0.0297298233258	0.134624653685	0.0512448982574	0.0259278505999	0.0281290414124	0.111430418585	0.000336388219837	0.0013036836685	0.00458011548882	6.62991223302e-05	0.000395067430644	0.00366036880454
