 	Anna	ora	sta	vicino	a	me	dormendo	</S>
i	0.91793812	0.0502714743	0.00034785466	0.00301365275	0.00075879629	0.0071975636	0.00256846403	0.0179040795
A	0.742481053333	0.2372147401	0.00116632378667	0.00236554289	0.000543059093333	0.002959832875	0.000916527562567	0.0123529061667
n	0.719842927778	0.2705499437	0.00252247292889	0.00097889817	0.000288827654444	0.00101839334167	0.000307683806089	0.00449085918723
n	0.901513519259	0.0935741855133	0.00233854885296	0.0004665906751	0.000138782588281	0.000354039227347	0.000103334081129	0.00151097936474
a	0.664760379753	0.285919769118	0.047467728561	0.000366140310133	0.000360143092894	0.000141932970906	3.47505335223e-05	0.000949083358913
à	0.258985707251	0.671491089706	0.0675123855203	0.000415778870044	0.000596418250965	0.000101626308635	1.31294075208e-05	0.000883788286304
r	0.197558623084	0.556496517235	0.231539911173	0.0108445145567	0.00255855213699	0.000508966964545	5.11559054736e-05	0.000441725541101
t	0.433711854361	0.196462670818	0.348793163724	0.0149655550856	0.00349090544566	0.000653948846515	6.89641134912e-05	0.00185292885937
e	0.412855306787	0.0706821113453	0.493451414575	0.00945764826187	0.00886231008189	0.000715819807172	4.48112834971e-05	0.00393053741979
n	0.156619210929	0.0290120430284	0.791564971525	0.00774334862062	0.011186681994	0.000782081409057	5.10570518324e-05	0.00304058039993
a	0.0719360959763	0.0159314369228	0.846875067175	0.0312962790735	0.0277256579647	0.00413578684302	0.000167946120611	0.00193172839331
s	0.0424928386588	0.0114493326409	0.864120599058	0.0398496190245	0.0346147488216	0.00544995509767	0.000278158140204	0.0017447824811
t	0.135460680553	0.0039939933603	0.814285733019	0.0240463866748	0.0167229991072	0.00240737061589	0.000219719676735	0.00286314171037
è	0.155524156184	0.00369468626677	0.60856820434	0.0238346505583	0.156703703036	0.020933686972	0.00838362882225	0.0223572975701
i	0.053350874728	0.00564989675559	0.42692029478	0.0189122235194	0.299835421012	0.0551307069907	0.0290179376074	0.111182664523
i	0.0193684484093	0.00982257025186	0.26751464826	0.0511909651731	0.349735420337	0.118192338997	0.0568481475358	0.127327441508
t	0.0461842496364	0.0167017414173	0.254611066087	0.0890359850577	0.338094620112	0.134721927999	0.0656208208453	0.055029586836
t	0.0677099122121	0.0132497485658	0.304371888696	0.215534938353	0.245953736704	0.0862178716663	0.0401113017484	0.0268505988453
u	0.0364115599063	0.00464953349193	0.187732235899	0.245885867118	0.327272458901	0.145276934555	0.0278137620495	0.0249576218484
m	0.0197320048044	0.00188085600731	0.067098403733	0.237020970039	0.3148958163	0.269719261518	0.0380248783498	0.0516277792828
b	0.0173313599348	0.00100855800244	0.100524486678	0.424338650013	0.147432550433	0.217857334506	0.0286884754499	0.0628185630943
r	0.0384671403116	0.000811387000813	0.184288922226	0.501021606671	0.111639101811	0.0934556078353	0.0129241008166	0.0573921143648
ò	0.0438384300039	0.00130824596694	0.135014231909	0.319413125557	0.100281394937	0.0597613476118	0.147234084272	0.193149104788
s	0.017212278368	0.00127542346231	0.0607649064697	0.117349715186	0.291710862646	0.0596444852039	0.232060954757	0.219981350263
e	0.00686595904833	0.00074800666077	0.0361853832232	0.050100232562	0.387377517549	0.130833698401	0.254722168252	0.133167002088
m	0.00233191297844	0.00051332770359	0.0131950573411	0.0696712216873	0.23127297585	0.161430749467	0.277730686084	0.243854037363
è	0.000850311016147	0.000263500717863	0.00526221921203	0.0735907491624	0.133622833617	0.0932021671557	0.379463148695	0.313745069121
n	0.000853142392049	0.000429356449288	0.0125237576357	0.0471927596541	0.196132816206	0.0613524530519	0.484097582898	0.19741814804
a	0.00081120856935	0.000749684803096	0.0149974126652	0.038468890518	0.221510305402	0.102046824351	0.463527014299	0.15788868768
s	0.00172307342845	0.00169466824437	0.0222943756751	0.0236272794727	0.185051648467	0.156331248117	0.4639630681	0.145314681393
t	0.00869400514282	0.00649079824812	0.0260445546917	0.0446494098242	0.187334504489	0.255215452706	0.391498599367	0.0800727292977
e	0.00956931730934	0.00697426427137	0.0100618084559	0.0411792854881	0.091947418163	0.249222868902	0.417499813122	0.173545266433
p	0.00368290593151	0.00248999161246	0.0121706465773	0.0156298787094	0.0847716510543	0.178438727634	0.520709107707	0.182107101144
l	0.0701943535438	0.0251119925375	0.0245778801924	0.0199029019031	0.0982642756848	0.261231849211	0.404628280902	0.0960884673813
ò	0.0947907621813	0.0367767615125	0.0199070114948	0.0195484965344	0.0529433771416	0.22160722807	0.317195695301	0.23723067046
n	0.0345849492204	0.0173425431708	0.0101192772623	0.00787344151147	0.0633009556272	0.14363169769	0.4527200451	0.270427093487
n	0.0126924494668	0.00910329639027	0.00751381308743	0.00540725327049	0.0701865258757	0.153355443897	0.567778048367	0.173963174496
i	0.0053281201096	0.00556177737542	0.00316808170048	0.00333371617716	0.0273567098586	0.091121258299	0.523050659456	0.341079674832
</S>	0.0026689771358	0.00280924155571	0.00158479485724	0.00166878321908	0.0139928257793	0.0484077326495	0.437386094728	0.491481552416
