 	lui	sapeva	che	oggi	fa	freddo	e	non	ha	voluto	venire	</S>
c	0.97207405	0.0190835675	0.00187471445	0.0001934248925	0.000522648875	0.000100252981	5.8475916e-05	0.000901391955	0.0001657533648	0.0017276949425	0.0001451375635	0.003152792775
ì	0.664724037667	0.314433551167	0.01312021275	0.0041300481425	0.000853105625	0.000293261797667	0.000149567760667	0.000483392795	6.49443528e-05	0.000579081357767	4.87457082033e-05	0.00111997436167
o	0.258541365556	0.706267217056	0.02300595225	0.0073590702475	0.001921977275	0.000944765749222	0.000365412793556	0.000709956538333	0.000122722028933	0.000242066997856	1.70443368378e-05	0.000502456730557
ì	0.104002143819	0.867815195685	0.0179252790833	0.00549259704917	0.001976958475	0.00106098573974	0.000382575121185	0.000749594936111	0.000153360446311	0.000136722000285	6.49986816593e-06	0.000298134116852
s	0.123770637906	0.823018721895	0.0304155480278	0.0201118991164	0.00109212434167	0.000705273883247	0.000273155690395	0.000339512214037	7.68841981037e-05	5.6482668195e-05	2.52901614198e-06	0.000137241888751
s	0.295970759302	0.631859560632	0.0452496813426	0.0248354673721	0.00081306409389	0.000499766994416	0.000260427796798	0.000123205118279	5.59659187012e-05	2.36666564983e-05	1.76210684733e-06	0.00030665921605
e	0.265617979967	0.529594440211	0.171305857781	0.029218819124	0.00232064047796	0.000835008318139	0.000491055782266	7.97276810263e-05	4.74377345671e-05	1.16456950328e-05	1.18046715344e-06	0.000476197858683
r	0.119439226856	0.54983388007	0.25693157926	0.0689018440413	0.00287905900932	0.00101651251938	0.000624841484089	6.44617668754e-05	2.39209825224e-05	5.65186561093e-06	8.50920888813e-07	0.000278165753228
e	0.0715709776187	0.42710054669	0.320123359753	0.160819498014	0.0128548447198	0.00409266185313	0.0025912088847	0.000469468922158	8.70573568408e-05	3.1602262937e-05	1.0490594296e-06	0.000257723344743
k	0.0304400222062	0.208572968897	0.497053166584	0.232473302671	0.0191026815733	0.00647429215104	0.00461650262823	0.000637394294053	0.00021947698228	5.65913223123e-05	6.74150174432e-05	0.000286186678248
a	0.0163598706354	0.104609003632	0.522567042195	0.29072459089	0.0402583171911	0.0130428555837	0.00922194730941	0.00218616505135	0.00040526301076	0.000102171975437	8.97982103144e-05	0.000432956996083
s	0.0136998417785	0.0585965092107	0.433328687398	0.40480448363	0.0514117487304	0.0184380471946	0.0146686907698	0.00279662212378	0.000830364203587	0.000198642771812	0.000486408111271	0.000739944432028
ì	0.0120100140128	0.0401780790702	0.357338839133	0.418015924543	0.0943277059101	0.0467823167315	0.0246371062566	0.00326668091459	0.0017272208012	0.000471860457271	0.000636889247757	0.000607380204009
m	0.0335583637576	0.0228997893567	0.378542646378	0.317836731514	0.122225386637	0.0748667155772	0.0327736994189	0.0041055331382	0.00992797226707	0.00228630618576	0.000507242043252	0.00046964709467
b	0.347703582919	0.0159362427856	0.289881375459	0.191121444505	0.063973251879	0.0499256297591	0.023858093973	0.0023625390794	0.0117666847557	0.00260783988192	0.000446279588417	0.000417083308223
e	0.422981860253	0.0080906154952	0.11350398182	0.197949335502	0.130926865626	0.0717898844864	0.0356884498243	0.0097600696598	0.00516887108523	0.00134108181397	0.000159163225139	0.00263986377941
r	0.155431167031	0.00814983973173	0.125529887273	0.374727678501	0.159448172542	0.0952304048288	0.0610000016081	0.0121342608333	0.00370655759508	0.000993202471323	0.000129269836713	0.00351958822647
i	0.0663279924303	0.00820332977724	0.121145201091	0.3967674895	0.158409904847	0.10190229161	0.0948943372027	0.0366182265578	0.010430969265	0.00219839735711	0.000201911718904	0.00289994214216
k	0.0402385432301	0.00768094312575	0.0830316923637	0.3697324265	0.175582738282	0.123000422203	0.128790125734	0.0455132011859	0.0160665960883	0.0033397366857	0.0017604658563	0.00526310471405
à	0.03142481819	0.00725965800058	0.0643169275879	0.295856402167	0.268816466094	0.164495075734	0.114833813578	0.027024139062	0.0145311143628	0.00374931362857	0.00281337301877	0.00487890263802
