 	l	ha	scritta	</S>
t	0.959235715	0.01426445995	0.009793312015	0.0167065165
o	0.658242771667	0.297961754983	0.0143330423383	0.0294624565
è	0.254891043889	0.702538138328	0.0117525276128	0.0308182991667
g	0.160048107963	0.805458346109	0.0214059820376	0.0130875796022
r	0.266291732654	0.70495722537	0.0233305259125	0.0054205458474
a	0.236350203085	0.66789395179	0.0656569895375	0.0300988683825
t	0.0813043645617	0.630295717263	0.250218069846	0.0381818694608
s	0.0315122475206	0.423235229088	0.262149684615	0.283102846487
e	0.0126094661382	0.207043304696	0.152480676205	0.627866558829
</S>	0.0063241765161	0.121238659848	0.162779068102	0.709658114414
