 	sul	muro	vuole	uno	specchio	</S>
s	0.886643175	0.010060111	0.00175091465	0.00080848737	0.0147695605	0.085967822
t	0.924424291667	0.00713670766667	0.00212169058333	0.000804046903333	0.0164121678333	0.0491011333333
o	0.897068697222	0.0608551228889	0.00204177632778	0.000691130014444	0.0088809926211	0.0304622702111
t	0.589275196407	0.080288950963	0.0110606357093	0.00563042491815	0.280711531884	0.0330332511704
ì	0.230988293802	0.327240316988	0.0292400492364	0.00755521627272	0.371234974365	0.0337411908275
c	0.103985363601	0.473963772329	0.173995589079	0.0300213100576	0.206748361858	0.0112856380115
h	0.2785506692	0.313852670776	0.211114472693	0.0394890240192	0.151930183596	0.0050629876355
o	0.328783654513	0.459158570259	0.139515533898	0.0184237793397	0.0507031991953	0.00341529931183
t	0.110135627818	0.421359709753	0.137153471299	0.0837388271132	0.243778014752	0.00383439087061
è	0.0372498404543	0.173219486251	0.337771700433	0.136206385704	0.310129487917	0.00542311062354
l	0.0134594325998	0.176585932084	0.496075860144	0.163652155235	0.146374807306	0.00385179350785
i	0.00553486537593	0.155841783028	0.535459960048	0.195297238412	0.104157324102	0.00370879026928
o	0.00186016368591	0.0606443357427	0.459380133349	0.382197366137	0.0878299113673	0.00808807722309
j	0.000826523646573	0.0210539842209	0.182165179783	0.392254530546	0.395893480456	0.0078062876077
a	0.000493816593191	0.010228304647	0.193154695261	0.302271552015	0.465604553819	0.0282470730692
l	0.000630798775397	0.00671913046233	0.196954186087	0.388983417338	0.359044811606	0.0476676726897
ì	0.000669006511466	0.00240459028144	0.0677379885623	0.262680393446	0.617502457202	0.0490055608966
</S>	0.000341183485233	0.00121624196172	0.0356800025811	0.150000228223	0.758308058601	0.0544542754483
