 	vado	vestito	</S>
i	0.97898368	0.0106027245	0.01041361775
p	0.70780741	0.232680890167	0.05951172325
à	0.605967433333	0.315908197722	0.07812437875
o	0.556091344444	0.350793893574	0.0931147439167
n	0.512872748148	0.391109577858	0.0960176619722
d	0.735487492716	0.198009805953	0.0665027179907
i	0.524874349139	0.205603015318	0.269522655997
m	0.196440214613	0.473811888439	0.329747919999
è	0.087100190271	0.566170066146	0.346729774666
n	0.267889692157	0.399763808715	0.332346530555
o	0.329428804219	0.244236371238	0.426334849185
</S>	0.16796496236	0.147342888119	0.684692174592
