 	viene	fabbricato	</S>
è	0.90707572	0.0870751125	0.00584917025
r	0.639532619	0.355319375833	0.00514800528333
k	0.260842377	0.594698641944	0.144458977128
e	0.1247007684	0.677479617315	0.197819593043
t	0.0559035428667	0.861323672438	0.0827727593477
e	0.0823635532889	0.856584904146	0.0610515341159
f	0.0835638354296	0.869784384715	0.0466517800386
a	0.0431197454765	0.893125711572	0.0637545520129
b	0.0935465278255	0.830302303857	0.0761511883376
b	0.299276682609	0.540208551619	0.160514777113
r	0.299594559536	0.372561400873	0.327844035704
i	0.101105570344	0.320851213624	0.578043225235
k	0.035333735947	0.286925617875	0.677740655078
à	0.013751615149	0.579928395958	0.406319990359
t	0.148684724216	0.642686055319	0.20862921212
o	0.193578027355	0.360298416106	0.446123557373
</S>	0.0971845776025	0.201076754553	0.701738693686
