 	ho	cosa	a	fare	</S>
è	0.5057709	0.474466219375	0.017102758199	0.000190516837	0.00246968305
c	0.176140672267	0.557986826458	0.212939268733	0.051441814969	0.00149147267
h	0.173775069689	0.486259512153	0.269354844578	0.0684871231697	0.00212348157667
o	0.17193807123	0.646596754051	0.149309619859	0.0243529834699	0.00780260412556
t	0.0982429117433	0.716272718017	0.165093799953	0.01083265589	0.00955792237519
i	0.0727218849144	0.612571929339	0.290855106651	0.0118206217967	0.0120304454584
k	0.0250190834381	0.35374176878	0.414914198884	0.193688073266	0.0126368761528
à	0.010346934446	0.12820773626	0.328161652961	0.466926131089	0.0663575497176
i	0.00490792230533	0.044503247368	0.176299557654	0.679883113696	0.0944061422392
</S>	0.00250424863767	0.022283510106	0.114417938827	0.796934031848	0.0638602446196
