 	non	mangiare	la	sera	</S>
m	0.56217726	0.01152633325	0.00807132785	0.0068642819035	0.41136083045
i	0.593551846667	0.116811082417	0.123852635183	0.00499131223683	0.160793143783
f	0.278885307222	0.179955644139	0.381313265061	0.0121790020789	0.147666787928
a	0.159456757407	0.328526088046	0.37632583702	0.0119566360263	0.123734695976
i	0.124383618136	0.420664282682	0.375778227673	0.0195152190088	0.0596586613253
o	0.048690225312	0.238047950894	0.640325899224	0.0318701613363	0.0410657724418
v	0.017582895284	0.105734949298	0.794225056408	0.0571354577788	0.0253216581473
r	0.0127921756747	0.0693161154327	0.826974298803	0.0600566329263	0.0308607657158
à	0.0112739174916	0.0542191669042	0.566653767601	0.287069397975	0.0807837035719
i	0.0041886512572	0.0182379092381	0.231052550534	0.519825882658	0.226694974524
</S>	0.0022443063686	0.00917984738405	0.153289585267	0.502166466329	0.333119787262
