 	ho	messo	uno	specchio	sul	muro	</S>
è	0.52623112	0.4423617669	0.00176379755	0.001003274645	0.00076546538	0.0076967744875	0.020177759315
v	0.50598611	0.4677586323	0.00824519601667	0.00768901444833	0.000807654056667	0.00257977023917	0.0069335996
a	0.476161229333	0.4435123641	0.0514794383389	0.0235887634828	0.00135246786222	0.000867642312057	0.00303807491833
l	0.353871162444	0.425158511367	0.0921580394463	0.122410005161	0.00437710975407	0.000296237784186	0.00172891950278
a	0.337620362148	0.188792160456	0.148724596482	0.295916095054	0.0239239172514	0.000161718800895	0.00486117026426
è	0.150871308549	0.108739183485	0.370282308827	0.322064501685	0.0407984127505	0.000520804506965	0.00672351045475
n	0.0513704111163	0.050777067495	0.455174079609	0.408718070562	0.0301265705835	0.000680142015655	0.00315367309158
a	0.0190251308721	0.0183292549983	0.33598301987	0.555938303521	0.0600904015278	0.00162668561855	0.00900721193719
n	0.0122125986907	0.0102380278328	0.487456299957	0.40783371284	0.0690383039426	0.00207953899618	0.0111415627924
j	0.0479293292302	0.0093265912776	0.523928823319	0.17425630228	0.0476428834142	0.00132347395539	0.195592636411
a	0.0548618685591	0.0062103679592	0.30571598444	0.18278044376	0.153060573138	0.0117437218185	0.285627022137
l	0.019076824402	0.00275234671973	0.405238548147	0.24304353792	0.184629343046	0.0160130903395	0.129246285712
ì	0.00745767504733	0.00144500068991	0.386261746049	0.225240979307	0.219256583015	0.0590725821798	0.101265433571
s	0.0564726158624	0.000553581946637	0.162590812016	0.200230756436	0.330383231005	0.158268100727	0.0915009101903
t	0.0910879786208	0.000729643448879	0.0925128333387	0.109849436245	0.401680330335	0.161601822242	0.14253796573
o	0.0489838025783	0.000785071319626	0.0410258326462	0.0419532111817	0.356441776778	0.184840619414	0.32596972191
t	0.0253902692308	0.000462322809875	0.204393089749	0.0303144503939	0.219554542259	0.232592799805	0.287292541637
ì	0.0175944820236	0.000315964752292	0.25809489123	0.0251833984646	0.183059624086	0.304124246602	0.211627388212
c	0.00596145246053	0.000573625233097	0.12464460839	0.0183265164882	0.144326298029	0.477701948867	0.228465586071
h	0.00205591968284	0.000678812574366	0.0993138807967	0.0154287498294	0.18526458601	0.484530072956	0.212728025357
o	0.000759755964947	0.000287928922789	0.0527368966489	0.0071555721098	0.183007562003	0.466471647652	0.289580621786
</S>	0.000394211053473	0.000196199863395	0.0268264908995	0.0044371083049	0.104403546002	0.521566573826	0.342175810893
