 	il	lenzuolo	vuole	lavato	</S>
o	0.70361258	0.0389172187	0.157661643418	0.01723721925	0.0825713
p	0.394636951	0.118083186233	0.375312471139	0.0368830794167	0.0750843056667
l	0.374338374667	0.194916712078	0.346899272546	0.0321916783422	0.0516539788889
a	0.366772280222	0.432765377359	0.128324527015	0.0108406051841	0.061297260963
ù	0.133219548741	0.723686402453	0.0945739863383	0.0039155752447	0.044604569521
n	0.0698889829137	0.753688644151	0.119817758779	0.0198690713982	0.036735640707
a	0.0686728943046	0.577554101384	0.293822592926	0.0251906454661	0.0347598281023
t	0.0507556731015	0.378648020461	0.544417864309	0.0112010081554	0.0149774212341
è	0.0231510034772	0.245994760154	0.70307345477	0.0112986537185	0.0164821027447
l	0.0108427649357	0.118145970251	0.839544598257	0.0159622992395	0.0155043384149
i	0.00734533757857	0.0422348988837	0.856811312752	0.0382009897465	0.0554074336383
p	0.0135573574595	0.0163960211279	0.859326070917	0.0413115609155	0.0694089985461
l	0.12748520782	0.0085745797093	0.709180590306	0.0396971013052	0.115062536849
i	0.15500775171	0.0049889140431	0.343928767769	0.115067313768	0.381007245616
m	0.052088472673	0.00181870662103	0.127486388923	0.411701751256	0.406904651872
è	0.0180434904143	0.000794353423677	0.0550064254077	0.492162970419	0.433992723957
n	0.186652989995	0.00232972812456	0.0860942822359	0.299578943473	0.425344053652
o	0.242702593198	0.00312527704152	0.104030623079	0.234652727824	0.415488793551
</S>	0.121518391399	0.00209483502076	0.0670925450395	0.206851663912	0.602442571775
