 	non	ti	dimentichiamo	mai	</S>
e	0.69621712	0.0605213845	0.022658604	0.00549643528	0.2151064793
s	0.545567978333	0.121172052833	0.141899751333	0.0179032339467	0.173457005967
e	0.239853102778	0.399001977611	0.179013285444	0.0223359870489	0.159795627656
a	0.112023422593	0.47717675587	0.326983033481	0.015936129083	0.067880629552
l	0.0418185587143	0.213019546623	0.675128867827	0.030817308361	0.0392157128507
l	0.0265002040881	0.220062063541	0.693798779276	0.033012338787	0.0266266292836
i	0.022156135796	0.22050737218	0.479947216425	0.0558333202623	0.221555993095
m	0.008214652052	0.0770476477933	0.577333348808	0.0612478700874	0.276156506098
o	0.007589326704	0.0268001685644	0.693332876269	0.0556575933625	0.216620043766
n	0.00742880359467	0.0116406898548	0.647304675423	0.119207337787	0.214418484589
ù	0.00318519169156	0.00557778709827	0.462651198941	0.385994119262	0.14259166153
m	0.00178995346385	0.00325654041276	0.25064076678	0.634812373087	0.109500337843
e	0.00136272452128	0.00247103879459	0.18456720226	0.662971291029	0.148627726614
m	0.00114898493909	0.000866908311863	0.15886042742	0.558525563676	0.280598082205
à	0.000640566831697	0.000327479829421	0.144015329093	0.487835404559	0.367181184068
i	0.000475985673899	0.000110826995707	0.0540188853177	0.55857805152	0.386816224689
</S>	0.000259075401949	5.74405735035e-05	0.0358209361589	0.59267477576	0.371187742345
