 	devo	comprare	il	pane	ogni	giorno	</S>
è	0.37530435	0.19290887348	0.0084699165	0.0859093703	0.219883346035	0.0839440395501	0.033580107
n	0.407187086667	0.282825657827	0.155973215833	0.0328908283	0.073900316435	0.0279868784595	0.0192359793333
a	0.221138054056	0.489658585942	0.226396476611	0.0153879257333	0.0257124908783	0.00933278931255	0.0123736155111
v	0.085984649852	0.549374425314	0.337667610204	0.0093881762111	0.00934694165943	0.0031146149409	0.0051235725037
o	0.0413109988507	0.281465693438	0.647965736735	0.0178760414037	0.00691444191981	0.00104265537263	0.00342442050123
r	0.0157242061269	0.314766786146	0.641883332245	0.0183910318012	0.00606413794994	0.000348851312777	0.00282163280041
à	0.0056466806123	0.309371568715	0.383314007415	0.0731257019337	0.125002351627	0.000901801920492	0.1026379095
s	0.00266758769743	0.138385682905	0.400167569138	0.151554423978	0.170278060542	0.0012715938635	0.135675082667
o	0.00162857372248	0.0804043725317	0.469220813046	0.264601874659	0.134297026847	0.000707961011167	0.0491393755557
t	0.00087321426416	0.0543851657406	0.456474337682	0.312640154886	0.141180262282	0.000604926587056	0.0338419736852
o	0.000598807048053	0.0457104821235	0.425519535894	0.329495614962	0.163963744094	0.00160771451235	0.0331041192284
t	0.000418589852684	0.0309661435845	0.285590368631	0.390638351654	0.233879581365	0.00216022393745	0.0563467510761
s	0.0160146012276	0.0262295665948	0.327406389544	0.367872573885	0.189311629122	0.00144486817915	0.0717203903587
o	0.0210190415665	0.00895137788402	0.276376120711	0.233399204328	0.101152201707	0.00294596735972	0.356156086786
m	0.0070130919575	0.00322963844709	0.0928151721003	0.194274911143	0.0982383972357	0.0285834353199	0.575845348929
ì	0.0024028362005	0.00132238413485	0.0316927347101	0.185518654048	0.0951678540786	0.0873360117733	0.59655951631
k	0.000873754130167	0.000625599364103	0.0109426683934	0.0953534216827	0.34028236636	0.0827899735911	0.46913219977
a	0.000305272872266	0.000394266741568	0.00403145818113	0.0733781655609	0.59631132212	0.100433394197	0.225146140923
i	0.00010199969668	0.000133436680556	0.00143888469304	0.0381275807536	0.486228630707	0.291535784732	0.182433733641
m	3.48862141418e-05	0.000103854306685	0.000526505097013	0.0633239474845	0.362338250236	0.437715258244	0.135957331214
è	1.26765520139e-05	9.31559279617e-05	0.000222650409504	0.0715084738615	0.230672560079	0.533917446081	0.163573077071
r	6.2281567713e-06	0.000131240235054	0.000237041600335	0.0364632879872	0.32224071336	0.49718264536	0.14373890119
i	4.3544325571e-06	0.000144702329485	0.000250636151778	0.0244657601291	0.357649368787	0.32457787512	0.29290733923
</S>	2.83563122855e-06	7.35712914425e-05	0.000143147668389	0.0125096282646	0.203049330893	0.27265850756	0.511562994615
