 	la	casa	la	costruirono	i	muratori	</S>
o	0.503895357	0.4887145427	0.000586510785	0.00120096287	0.0018712394	0.000333740168	0.00339762785
s	0.437289603667	0.557136167567	0.00125222672833	0.000653469603333	0.00124038826667	0.000233510261333	0.00219460736
p	0.441416074556	0.539765259189	0.0132266178428	0.000426413341111	0.00079108053189	0.000178392471444	0.00419614563
ì	0.179863209485	0.79618349973	0.0183984186143	0.00031819933537	0.000268481060063	7.1174765338e-05	0.00489700868667
t	0.0768416304617	0.599506887577	0.285218225538	0.0365121552935	0.000102913408121	0.000117676788969	0.00170050668356
i	0.0434572532872	0.455157570192	0.448191438513	0.0521362217645	0.000100731217707	0.000133494436323	0.000823282139187
o	0.0158753424957	0.468145080064	0.471123742838	0.0366034205882	0.0021187186059	0.000370857885441	0.0057628766464
f	0.0127371690986	0.257116168355	0.614302480946	0.0980032651961	0.00854108920197	0.00192828026181	0.00737158289547
a	0.0131662872329	0.132668439118	0.514248270315	0.314819801732	0.0180312814007	0.00236916224394	0.00469675887849
b	0.0107195202776	0.0566494475393	0.496965933438	0.412604597244	0.0162719521336	0.00204246163798	0.00474613419283
b	0.313012754426	0.0258214726798	0.403100545813	0.242822613081	0.00659133125787	0.00185556248933	0.00679575773094
r	0.550128718142	0.0500210412266	0.234909583271	0.120214145027	0.00275115246596	0.00198108753978	0.0399942869103
i	0.324305044831	0.0539067633089	0.180279882424	0.0839044683423	0.030689173322	0.00214182242659	0.324772865637
k	0.113894025727	0.018181528603	0.0890374164747	0.0505313207808	0.046634134774	0.00915457655553	0.672566988546
è	0.0453630884423	0.00698399166767	0.0504110438249	0.0461128849269	0.283719391925	0.0228437868518	0.544565789515
t	0.0180762599808	0.00325534190922	0.0314066786083	0.352373621642	0.356571047308	0.0226699426173	0.215647078515
s	0.0155956039603	0.00154396738974	0.0311187452028	0.493355630547	0.123942721936	0.0121137037724	0.322329581515
a	0.0135467139091	0.000997065269913	0.0210367885009	0.278267196849	0.189378296812	0.0320373738241	0.464736543838
n	0.0119162242254	0.000562594496638	0.1046601106	0.27983582895	0.213493917271	0.107877434608	0.281653919279
e	0.0114319910818	0.000513679032213	0.132520233767	0.483215676317	0.103192577424	0.141030874869	0.128095000093
e	0.0038904316915	0.000328978069071	0.0483886198223	0.441590152106	0.267258345808	0.158593604956	0.0799498656977
f	0.0193922805547	0.00475255274802	0.0412605816074	0.204774614035	0.362762408603	0.297869491652	0.0691880518992
a	0.0245842519766	0.00637343159601	0.0376740819691	0.347241574678	0.237851939534	0.289802300551	0.0564724472997
b	0.0320535224505	0.004682583312	0.104274585423	0.416595574893	0.146730367845	0.25702868685	0.0386347267666
b	0.233473140817	0.027164156204	0.137617983808	0.261312488298	0.0716192302817	0.237178907617	0.0316341042555
r	0.358422216939	0.032763541668	0.0976512332693	0.187611669433	0.0551780797606	0.109709403539	0.158663835752
i	0.201118279024	0.011428585699	0.0716954899524	0.0964845612743	0.0833805265869	0.063372784513	0.472519755251
k	0.0725919720525	0.00383817032467	0.0467079188468	0.0335524846881	0.148243252196	0.129442749171	0.56562346175
a	0.0297501436211	0.00131563378256	0.0385280813823	0.015605009196	0.175985950732	0.30067929639	0.43813587725
t	0.0114964474773	0.000496058113187	0.0711328455608	0.014912301232	0.108500894744	0.51446159213	0.27899983375
ù	0.00554888854577	0.000216603668396	0.0818512084239	0.0118772802773	0.180633116081	0.594054264043	0.12581861925
r	0.00306227946859	8.72769667987e-05	0.031918646045	0.0884361132924	0.25426913536	0.548992588014	0.0732339670833
i	0.0021044078302	5.48532015996e-05	0.0156521079483	0.116294446764	0.148920976787	0.540351182671	0.176622033028
</S>	0.0010679565761	4.75566597998e-05	0.00840001287415	0.062078371882	0.0902939758935	0.530443771336	0.307668341514
