 	dopo	Giovanni	é	tornato	a	casa	</S>
d	0.890588925	0.09356211545	0.001381773435	5.001364e-05	9.46194565e-05	0.0002838702475	0.01403856485
ò	0.570100100667	0.420144398483	0.00478259547833	3.03150993333e-05	4.53466946e-05	0.000100698095245	0.00479639152
p	0.524653622556	0.468553143094	0.00504451382411	7.14286011111e-05	3.65501063e-05	3.38990904601e-05	0.00160676669021
u	0.507394463885	0.481646091298	0.0101490642727	0.000189049553704	3.88019771e-05	1.163690432e-05	0.000570900240282
o	0.171543792228	0.760228930433	0.0659883010909	0.00175572567123	0.000217594477367	5.59700030667e-06	0.000260087150094
G	0.134419271976	0.777122400144	0.0845281600303	0.00254332939041	0.00103668945912	1.82239574356e-05	0.000331905723365
i	0.124857504159	0.814278373381	0.0565682263434	0.0017602961968	0.00113139777971	2.09905716219e-05	0.00138316500779
o	0.0464576982197	0.747307661127	0.197177648781	0.0065844529656	0.00073924978657	2.3932724684e-05	0.0017093616526
v	0.0420853660732	0.681846107042	0.263558702927	0.00874075092187	0.00271916002886	7.41333848947e-05	0.000975811200867
à	0.0401376216977	0.568693399014	0.379535487642	0.00754558657396	0.00327491902629	9.86114962982e-05	0.000714409966956
n	0.0368953202392	0.276970793671	0.397603661881	0.168775027525	0.114024071359	0.00523326389343	0.000497873522319
n	0.291286733413	0.103286338724	0.15872230596	0.273468602508	0.153401739453	0.00752738199781	0.0123068768074
i	0.354703208471	0.040913642408	0.0839583979867	0.383421060836	0.107187262151	0.00344969469927	0.0263667242691
j	0.374786356824	0.0324324434693	0.0809663893289	0.381807305612	0.102369977384	0.00305462523309	0.0245829077564
ù	0.379934128875	0.0276835091564	0.112113096443	0.356874387204	0.0901111024613	0.0080856310777	0.0251981502521
r	0.157276510892	0.0135225549855	0.0974590498143	0.530747705735	0.157070154154	0.0218877203592	0.022036305084
i	0.082972878164	0.0053264421285	0.0391934554714	0.474608345245	0.332794064718	0.0238449934531	0.0412597966947
s	0.037205245588	0.00250652997617	0.0162826395571	0.455692191748	0.402084981573	0.0365023484844	0.0497260212316
e	0.0217495133093	0.00126379855872	0.0064813555857	0.404375840583	0.474573187191	0.0483979218281	0.0431583660772
è	0.00741789458223	0.00059262450334	0.0032224919619	0.190426349028	0.416029422397	0.342713836276	0.0395973673591
s	0.00523308355988	0.00030683567488	0.00230336322063	0.105503873176	0.296262967466	0.573211252092	0.0171785749197
s	0.0907366948533	0.00034704589496	0.00238005810688	0.0842855277253	0.361086002489	0.382961280697	0.0782033354399
u	0.116505557388	0.000262925439987	0.00213919206896	0.0375471745751	0.294325874163	0.234590873566	0.31462837848
</S>	0.058291852349	0.000148574462494	0.00151123203448	0.0202637122875	0.232479177082	0.204246951783	0.48305848924
