 	la	casa	la	costruisce	il	mastro	</S>
o	0.78751488	0.13594759	0.00295625465	0.0014356811	0.00058963019	0.001810878565	0.06974503475
s	0.520029830667	0.21587455	0.09508797465	0.0270260662	0.00741507699	0.00695907149833	0.127607411417
p	0.266627360889	0.402097796667	0.12992600455	0.0376563464667	0.00972094065667	0.00885675626611	0.145114807606
ì	0.193605406963	0.621775545556	0.09117169785	0.0288142032222	0.00378540411222	0.00335701345537	0.057490743002
t	0.137206475654	0.632999075185	0.09078583195	0.0463041864074	0.00404824250407	0.00363610541846	0.0850200776673
i	0.100019083118	0.675630991728	0.0855521433167	0.0446749608025	0.00428597290136	0.00353782010549	0.0862990194891
o	0.035873392606	0.592643050576	0.286439897772	0.0341901402675	0.00527331746712	0.00177300170116	0.0438072074297
f	0.016362666202	0.284165292859	0.430589715924	0.134682590089	0.0296213668224	0.00793820460039	0.0966401731432
a	0.0110691580673	0.16772870362	0.457908655308	0.20537921003	0.0380913306075	0.0105610087001	0.109261902714
b	0.0105366583558	0.144169626207	0.430388501769	0.176095636677	0.0219859968692	0.0227715480667	0.194051955905
b	0.0121716071186	0.0891465127357	0.34962969059	0.268787245559	0.0152383857231	0.0279126677889	0.237113800302
r	0.0591098753729	0.0960204132452	0.294847716863	0.366173201853	0.016058319341	0.020208535363	0.147581885101
i	0.0735378494576	0.0838070817484	0.203654068954	0.484217773951	0.037478160447	0.0171854674543	0.100119562367
k	0.0335066174859	0.0446538889161	0.180653686318	0.478800547984	0.044660782149	0.0553139071514	0.162410551456
è	0.0168846201053	0.0271591101054	0.133350648773	0.480555405995	0.0772456827163	0.0770233610505	0.187781146152
i	0.00636330861177	0.0125020588351	0.0711753062577	0.564037201998	0.185407660905	0.0549154956835	0.105598927717
o	0.00323804320392	0.0103655021117	0.0483656654192	0.432337227333	0.342967373635	0.0546387725612	0.108087402572
m	0.00647471576797	0.0138154098706	0.0374666324731	0.286882969111	0.332363707878	0.0657939881871	0.257202577524
à	0.00723683576932	0.0120472478235	0.022037009391	0.200597539704	0.269213169293	0.170401916062	0.318466305841
s	0.00380083116977	0.00560393680783	0.00970626186367	0.123924578235	0.239190113098	0.241190528687	0.37658376528
c	0.0119486237899	0.00454404393594	0.00486235502122	0.109217127745	0.153919894366	0.308054209562	0.407453735093
i	0.0214235245966	0.00827605764531	0.00519453190707	0.105715519248	0.098083836122	0.505121609854	0.256184891698
a	0.0154692811655	0.0103796038818	0.0139894573024	0.067267816416	0.0577001450407	0.560283089951	0.274910597233
</S>	0.00828449903275	0.0088416184409	0.0210571436512	0.060129288208	0.0563927400203	0.507369644975	0.337925073616
