 	le	migliori	canzoni	le	puoi	scrivere	la	notte	</S>
a	0.874804495	0.0905946315	0.00616526635	0.0009291013065	0.000301957149	0.000230369005	0.0001359655485	0.00058024952	0.0262579785
k	0.58565418	0.0935495011667	0.172897747283	0.0304477527022	0.033494407859	0.00924282220167	0.00130495931517	0.00419823092	0.0692103775
à	0.219739156333	0.343951087722	0.255024789094	0.0397117986874	0.0445672909403	0.0121618395486	0.00168814472939	0.00535172394433	0.0778041589817
j	0.349995620111	0.416746172574	0.123738708698	0.0143197364491	0.0168563989674	0.00457153429753	0.000739957210797	0.00276071385244	0.0702711861422
o	0.39308532837	0.335632610858	0.140455875233	0.0499767259164	0.00835778032247	0.00226658925584	0.000464592153599	0.00190122470081	0.0678593035674
t	0.135217610457	0.335300443619	0.387080991744	0.0675555386388	0.00479024020749	0.00613209560861	0.0012159648912	0.0019843829836	0.0607227580425
r	0.0477506394857	0.164616327873	0.654146607248	0.0557412928796	0.00385328086916	0.0101863085362	0.0016520450304	0.00216651381453	0.0598870112142
a	0.0260234464952	0.114831973958	0.698038912416	0.102588504293	0.00681396098972	0.0117842848454	0.00202044234347	0.00217592969151	0.0357225702714
ù	0.0177123323851	0.111001722653	0.677601604139	0.111524481431	0.0216585033299	0.0148441472818	0.00645610544782	0.00742512406384	0.0317760237571
d	0.00710603314837	0.0753898208843	0.577758178046	0.078707790477	0.0875885077766	0.0162624517606	0.00931507648261	0.0250922033546	0.122779968252
i	0.00451671091612	0.0287264036281	0.337669716015	0.249001420159	0.144742532592	0.0450857125869	0.0147891541609	0.0263836569849	0.149084710084
a	0.00403334817204	0.0128812750094	0.167702332005	0.497088643386	0.115765449531	0.0912975941956	0.0229053537203	0.0145771285283	0.0737489106947
a	0.00389182865735	0.0073518213698	0.0909855040017	0.490988604462	0.102969621844	0.162363638065	0.0477251372401	0.0200314638428	0.0736924102316
s	0.00244462027578	0.00512304392327	0.0605302426672	0.288924733821	0.134998540615	0.182785472688	0.08020033408	0.0634440932809	0.181548923411
ò	0.00102513789526	0.00305934884109	0.0393471968891	0.11240818294	0.307288006872	0.133963204229	0.124324138027	0.079534059427	0.199050732804
z	0.000649577545087	0.0013873163137	0.0182972202964	0.0511813003133	0.559293785624	0.0833013314097	0.111160641676	0.0602032314757	0.114525604601
i	0.00306750921503	0.000758343824567	0.0092231234988	0.0332200094378	0.485658165208	0.20488904047	0.125034009559	0.0548843628252	0.0832654162003
g	0.024083374405	0.00113307839486	0.00712872656627	0.0626192991459	0.288543181736	0.27158894549	0.130612019853	0.0614492066084	0.1528421514
r	0.029020006635	0.00125435851829	0.00614977635542	0.0675107198486	0.220827660579	0.188101157163	0.122043419951	0.157279802203	0.2078131058
à	0.0102343148827	0.000703615286097	0.00279864720181	0.0231679764629	0.142731627526	0.154415292388	0.327406913317	0.218971170734	0.119570447267
t	0.0044564866319	0.000445962288699	0.0015604220506	0.00805501004763	0.149982033175	0.0802591771293	0.332915643772	0.227246250245	0.195078989089
s	0.00387203304397	0.0008935910629	0.00176232058353	0.00316819836254	0.256476487725	0.0608599953764	0.188422377257	0.232298843415	0.252246146363
i	0.0109865026813	0.0019471582543	0.00309467969451	0.00253621875418	0.222050169242	0.0701067507921	0.221536322419	0.263796611138	0.203945605454
i	0.0125708091604	0.00244758028477	0.00869778889817	0.00475909938473	0.092382847414	0.0625926325974	0.270918830806	0.349849253713	0.195781155151
n	0.00481680973347	0.00191639619492	0.0126506031327	0.00472729962824	0.050871825138	0.0713696688658	0.266455580269	0.380549077904	0.206642738384
ì	0.00167017746649	0.00103618928831	0.00819284565423	0.00208716479908	0.0383785317127	0.0585780329553	0.286254626756	0.431548169301	0.172254246128
t	0.000833307017497	0.000439348989437	0.00321341759474	0.00082554484936	0.0279484839042	0.0251748196518	0.246923608919	0.5264881731	0.168153292043
t	0.000697589499166	0.000398564879812	0.00155233746491	0.00043509638112	0.0196250959681	0.0112427047506	0.112992105306	0.626160571033	0.226895967348
a	0.00241009093972	0.000757186639937	0.0016820612883	0.000755255798373	0.012438418656	0.00605565931687	0.0475625174353	0.685742203678	0.242596619116
</S>	0.00424948696986	0.00103744276997	0.00218282434415	0.00123824749919	0.011107349828	0.00459427895844	0.0282824587177	0.688507351839	0.258800549558
