 	vuole	pianto	</S>
e	0.8830575	0.0705044729	0.0464380045
t	0.687802143333	0.188258999567	0.123938821167
è	0.581485857778	0.277014083189	0.141500059722
l	0.704993665926	0.160299756063	0.134706575907
i	0.570658645309	0.268759640354	0.160581711969
k	0.296547492336	0.325729406785	0.37772310399
l	0.104478744345	0.470634095595	0.424887147663
a	0.0402691155817	0.748622698532	0.211108188888
m	0.0149595481939	0.571359029511	0.413681456296
m	0.0158537719313	0.522029206504	0.462117085432
è	0.0400043546438	0.640401725501	0.319593985144
n	0.0475660138813	0.602327785167	0.350106245048
o	0.0284183506271	0.497607581722	0.473974075016
</S>	0.0183971458135	0.394049590861	0.587553237508
