 	sta	seduta	nel	giardino	</S>
s	0.575432435	0.020108202467	0.017139716975	0.01830859065	0.3690110495
t	0.556312551667	0.037325740489	0.018794702125	0.0182278671833	0.369339092333
è	0.772732057222	0.053659148163	0.011732810175	0.0182524913611	0.143623413278
i	0.549927412407	0.312838219388	0.0237482833917	0.0212124551204	0.092273594426
k	0.200698475302	0.408897596463	0.0693955101306	0.0283789603735	0.292629431475
a	0.131113712934	0.234938502154	0.252522580044	0.0355955981245	0.345829564492
s	0.112916784311	0.155029970718	0.329311903348	0.0413264473748	0.361414868831
i	0.0612196481037	0.0710712435727	0.413332057783	0.0659778674583	0.388399172944
m	0.0387745017012	0.0374361411909	0.427559589261	0.0887067541528	0.407523014315
m	0.210038026234	0.0244770867303	0.29627988642	0.0802603153843	0.388944708105
è	0.505027442078	0.0189828285768	0.248388338807	0.0645191024614	0.163082330702
n	0.439506984026	0.0180523281923	0.246651812936	0.144173707487	0.151615181567
i	0.192820584675	0.0151969908308	0.274280127645	0.351911312496	0.165790942522
s	0.0805715396917	0.0089217148436	0.167025898215	0.411605050832	0.331875766174
t	0.0378237936972	0.00625409364787	0.0717167607383	0.450767930277	0.433437445391
o	0.0267486832324	0.00488304144929	0.0416319695794	0.590056976759	0.336679361797
n	0.0145985249108	0.00332486101643	0.0206628023598	0.52135130892	0.440062510599
g	0.0486135524703	0.00595539253881	0.0134102112866	0.48587511964	0.446145723533
h	0.201423760823	0.0223199605129	0.0144365794289	0.441226743213	0.320592977844
i	0.372901966941	0.0261560230376	0.0121861384763	0.301220984404	0.287534925948
a	0.292182126314	0.0115413341125	0.0149845148254	0.341713734801	0.339578311983
r	0.103603755905	0.00535530417083	0.0150315229418	0.3984756016	0.477533840661
d	0.250812208435	0.0124429612903	0.0127545486473	0.297127973867	0.426862326887
ì	0.308850820145	0.0140380006634	0.0116492082158	0.283384621289	0.382077372296
n	0.139606142715	0.0263405017878	0.0132350457386	0.367553403763	0.453264924099
o	0.0765293675717	0.0302923653959	0.0131788252462	0.258470826588	0.621528608033
</S>	0.0438924357858	0.0156158648979	0.0082774306231	0.136636516294	0.795577754016
