 	entrò	da	qui	</S>
m	0.48392673025	0.0095904282	0.0264621607	0.480020699
b	0.396497896917	0.0975192884	0.0253870512333	0.480595774
ì	0.438036412306	0.366934516133	0.0185979180778	0.176431174333
k	0.223425578102	0.430978025378	0.0292041340259	0.316392280111
e	0.0953403967007	0.487580575126	0.0586546586753	0.35842434337
a	0.0491451411336	0.482623735042	0.236169940892	0.232061164457
p	0.0182889255879	0.202861012714	0.405916880297	0.372933201486
ò	0.0068011956393	0.0711588543713	0.583881550099	0.338158400495
t	0.00311966614643	0.0300100222238	0.686475050033	0.280395246832
t	0.00701488151548	0.0171860274079	0.730273983344	0.245525128944
u	0.0102728480052	0.0104911098026	0.743363311115	0.235872776315
</S>	0.0085164562526	0.0074989634013	0.652115130557	0.331869488158
