 	non	ho	dove	d	andare	</S>
e	0.52399193	0.0396697022	0.00457954105	0.012755669185	0.0104699288	0.408533205
n	0.1975326436	0.210756290733	0.0965154390167	0.029290326395	0.0123047436667	0.453600575
è	0.0811018594667	0.532958066911	0.151098753006	0.0274861466983	0.0060063378389	0.201348851473
c	0.0432565656222	0.61668637897	0.161414377669	0.0193425977994	0.0035491843963	0.155750913631
h	0.0165547717874	0.377691396323	0.44192914589	0.0206256227665	0.00272838646543	0.14047072313
o	0.0069297553758	0.173920817108	0.585562681963	0.178618794422	0.00298659205514	0.05198139563
p	0.0037426234586	0.083812189036	0.427407673988	0.359698118141	0.041696765485	0.0836426445433
u	0.00752478881953	0.033080042012	0.345809714663	0.426873426047	0.0787605251617	0.107951495848
è	0.00872811170651	0.0155596648707	0.253018093221	0.565281902016	0.0852113017206	0.072200890616
n	0.00329288338217	0.0092852151569	0.18971091274	0.634457710672	0.0830460239069	0.0802072345387
a	0.00254992327406	0.00707372278563	0.141509277913	0.505247516891	0.237360221302	0.106259331513
p	0.00255761049135	0.00551425132854	0.061023631971	0.464530218964	0.324761537101	0.141612763838
à	0.00159087473045	0.00440933220951	0.0342472073237	0.376644512988	0.431036932367	0.152071159613
o	0.00128815677682	0.0039249038365	0.0216906017746	0.160932094329	0.637251720789	0.174912524871
</S>	0.00135018428841	0.00472008791825	0.0186938783873	0.0990280721645	0.661567460395	0.214640327436
