 	l	ho	sentito	quando	veniva	</S>
t	0.89737852	0.079795515	0.0003949972715	0.00158167565	0.00020628004	0.02064297625
o	0.885662936667	0.092767375	0.00115268887717	0.00147811635	0.000125589543333	0.01881324155
n	0.589066195556	0.353050565	0.0138519731924	0.0106565662167	0.000777629627778	0.03259706365
ì	0.206581740852	0.724335521667	0.0179823682975	0.0149287270722	0.00113048606593	0.0350411576833
k	0.317235822617	0.621689480556	0.0102810763325	0.0188044100241	0.00115414844531	0.0308350543611
u	0.360412865539	0.286966853519	0.116903206777	0.196301062675	0.00723058824844	0.0321854124537
s	0.145001720513	0.16106363984	0.215180875592	0.354915867558	0.0124289760828	0.111408883151
a	0.102441707504	0.0931936824133	0.149528976197	0.468762255853	0.0289548883609	0.15711844105
m	0.118314992501	0.0344226132711	0.0649117287323	0.462906065284	0.052980440787	0.266464133683
ò	0.0871061725003	0.0138386844237	0.0266494277441	0.445872088428	0.124490568262	0.302043051228
t	0.0444030125001	0.0070897068079	0.0134511750814	0.534748829476	0.187364062754	0.212943223743
t	0.0396482475	0.0053158452693	0.0107785343605	0.501605683159	0.268023600918	0.174628104581
e	0.0951026658333	0.00297241000643	0.00731111458683	0.348014529386	0.403541783639	0.143057468194
è	0.10210012382	0.00185820508548	0.00312835587894	0.144912282129	0.613660611213	0.134340398398
r	0.034609160616	0.00170557269516	0.00152590207631	0.0621000507097	0.805847237071	0.094212056466
k	0.0180178340053	0.00213425539839	0.00172782242544	0.0345566855699	0.85865194569	0.084911438822
a	0.152996467668	0.0024560932328	0.00269538967515	0.0268801605233	0.635849591897	0.179122294941
t	0.243524309223	0.00380204031093	0.00501943592505	0.0220393255078	0.411068220632	0.31454664498
o	0.199286669741	0.00384318087031	0.00501580550835	0.0179289138359	0.299484802544	0.474440594993
</S>	0.19962611987	0.00228523088516	0.00328248405417	0.014985340918	0.172339274772	0.607481517497
