 	l	ha	scritta	</S>
t	0.67444043	0.13146908	0.0099300685	0.184160395
o	0.716891176667	0.138928571667	0.00832262373333	0.135857594667
è	0.520769197176	0.418214575556	0.00417415047778	0.0568421057557
g	0.184720158345	0.548062595185	0.107620622826	0.159596656452
r	0.160736290448	0.460729181728	0.179023577609	0.199510955484
a	0.163209263483	0.395452325576	0.20497091587	0.236367488495
t	0.0770522308277	0.207333586859	0.225640541957	0.489973629498
s	0.0387241659426	0.10927334662	0.351359303986	0.500643186499
e	0.0289743969809	0.0433480391067	0.518081101329	0.409596472166
</S>	0.0207113169905	0.0226703184034	0.520830350665	0.435788036083
