 	mio	fratello	non	mi	ha	mai	scritto	una	lettera	</S>
a	0.584008225	0.350601907	0.000781832125	0.0014169698	0.00046008594	0.00027986225	0.000645869945	0.00029176087	0.00126037765	0.0602530865
d	0.289839604	0.363614519	0.043708348175	0.0161145186667	0.10716338966	0.01608511305	0.0326331125483	0.00256046787	0.03308176585	0.0951991088333
r	0.123233805667	0.464825159667	0.0576836179083	0.0202917425389	0.14258650964	0.021266080993	0.0429406929283	0.0032264907556	0.0433208949786	0.0806249680981
e	0.053538396889	0.789564253222	0.0335625758194	0.0105667203296	0.0483343503667	0.007292141874	0.0143921866483	0.00108972632647	0.0144587534371	0.027200896253
f	0.027054790963	0.709957857741	0.0381338232731	0.0099991059432	0.0466264821889	0.006143905858	0.0116889571428	0.00152314408449	0.00844938056137	0.140422547151
f	0.0279045726543	0.65784536258	0.038233692091	0.0101222423144	0.053776804063	0.00826596095267	0.0141383283809	0.00185023319483	0.00735145252046	0.180511307717
ò	0.0208614167381	0.638323587527	0.140241811697	0.0415637667715	0.0515257553543	0.0129851053176	0.011313014127	0.00236280529828	0.00543341567349	0.0753892499057
m	0.053444114766	0.410599682509	0.174670307232	0.0684006339238	0.104155493785	0.0367103941059	0.0227769113757	0.00329014693276	0.0155261593912	0.110426111969
m	0.0742929102553	0.406379367503	0.106422702411	0.0474218653079	0.162809331262	0.043475909702	0.0271751484586	0.00242137344425	0.0188178735637	0.110783484923
u	0.0373754786184	0.346500659834	0.17083485747	0.140717932436	0.189607557087	0.035551536234	0.0203842521529	0.00244565478142	0.00895237755457	0.047629638241
e	0.0155679547395	0.124987051278	0.20078100249	0.267558974145	0.199190605696	0.060254080078	0.0481615867176	0.00964398669381	0.00716620011819	0.0666885184137
m	0.0215807615798	0.0493418210927	0.121479405497	0.207867248048	0.213309848565	0.0866671066927	0.0926742669059	0.0140392868979	0.0527487107061	0.140291536138
o	0.0234428463599	0.0240649666976	0.0578104398323	0.260987196016	0.188855986188	0.139994445564	0.0975305256353	0.013236003966	0.0653385710687	0.128739035379
m	0.03083470662	0.0167761425659	0.0297408879441	0.271560605339	0.143646098729	0.156660853855	0.112292695212	0.014091248322	0.0865079111896	0.13788885846
a	0.0337879828733	0.0147837738553	0.0171754799814	0.18230296178	0.113829719576	0.215442376618	0.158445158404	0.0221748104407	0.0952876617299	0.146770047487
i	0.0129400589911	0.00989656671843	0.0108884053271	0.15238908526	0.0716947008587	0.267265252206	0.245050332801	0.0849380408136	0.04518885991	0.099748653829
g	0.0168800060304	0.00919634833948	0.0074260467757	0.0660770560867	0.0997362379529	0.178338284069	0.258219704267	0.108719355938	0.0847906713033	0.170616277943
r	0.0183695424435	0.00733961297983	0.00465889625857	0.0302184383622	0.109110971651	0.190439461356	0.250843544756	0.085678547646	0.117065105434	0.186275883981
a	0.00887593224783	0.00616252285994	0.00379299258619	0.0238955891207	0.053172947217	0.206363123785	0.301593608252	0.159003105882	0.0995147588113	0.13762539266
m	0.0232911530826	0.00845876395331	0.00394726706206	0.0193974617069	0.0311006474057	0.135398859928	0.241584380751	0.160718481961	0.170895801604	0.205207170887
m	0.124085356694	0.0094088626511	0.00421468872069	0.0116352182356	0.0394937031352	0.153187068643	0.152624491584	0.0736651433203	0.198654937201	0.233030533629
è	0.321933655565	0.0192675588837	0.00671594124023	0.0098965337452	0.0541207430451	0.156147259548	0.0998887338613	0.0448760417734	0.115806253734	0.17134725121
n	0.346668761855	0.0245906582946	0.00656903331341	0.00687168958173	0.0393739116817	0.095357276516	0.0639092122871	0.0280193973911	0.152585809245	0.236054223737
a	0.190215557285	0.0189666474315	0.0053499743378	0.0125163615272	0.0229337138939	0.0665947615053	0.096327388429	0.0576806012637	0.207782636415	0.321632341246
a	0.0818933827283	0.0143957941438	0.00645871724593	0.0195604661757	0.023380923298	0.0466397531684	0.120281098143	0.146272730421	0.218381842138	0.322735257082
n	0.0285931726094	0.00947637938127	0.00488456251531	0.0125330353252	0.0276539284327	0.0256108163895	0.086854576381	0.18600902014	0.261876974046	0.356507502361
g	0.0285138446031	0.00613009099376	0.00340169993844	0.0062297579084	0.0242713648109	0.0242319234632	0.0571863237937	0.160178336713	0.364634174682	0.32522247412
r	0.0346440305344	0.00367256589792	0.00373345894615	0.0052867445028	0.0157546847703	0.0266106538211	0.0335059409312	0.107691436238	0.485390524894	0.283709951373
à	0.0188001829781	0.00258817683264	0.00339103041538	0.0038305436676	0.0244985684234	0.017585500807	0.0201471843104	0.0791478194127	0.504194374965	0.325816613791
m	0.00862818495937	0.00207637377755	0.00243302050513	0.0022822823792	0.0240624326411	0.00981460080233	0.0137877027701	0.0667702944709	0.485233698322	0.384911401264
m	0.0102372901531	0.00168864415918	0.00203487140171	0.00154626964973	0.0110567983804	0.00946156793411	0.0101599919234	0.0412184174903	0.567572396107	0.345023743755
a	0.017616102051	0.00731383195306	0.0051051889339	0.00673713674991	0.0179719437935	0.0119950266447	0.0108812673078	0.0243234861634	0.531601772036	0.366454247918
</S>	0.0220067330255	0.0128729349765	0.00784451546695	0.011868347375	0.0275022533967	0.0124925743224	0.0124191576539	0.0141977465817	0.409468361018	0.469327373959
